No,No1,No2,No3,No4,No5,No6
203,1,12,19,31,32,41
204,1,12,19,35,36,40
205,1,12,21,25,31,41
206,1,12,21,27,28,37
207,1,12,25,29,35,42
208,1,12,25,36,38,41
209,1,12,26,35,36,39
210,1,12,33,35,40,42
211,1,13,14,21,42,43
212,1,13,14,22,28,42
213,1,13,14,23,36,45
214,1,13,15,28,34,39
215,1,13,15,31,42,43
216,1,13,18,21,24,45
217,1,13,18,23,35,40
218,1,13,19,29,32,44
219,1,13,20,26,27,43
220,1,13,21,22,23,41
221,1,13,24,28,31,36
222,1,13,27,29,32,43
223,1,14,17,22,26,32
224,1,14,17,22,31,36
225,1,14,19,22,33,38
226,1,14,21,25,27,28
227,1,14,21,30,44,45
228,1,14,22,28,38,39
229,1,14,24,28,33,44
230,1,15,16,17,27,33
231,1,15,16,36,37,45
232,1,15,17,22,23,39
233,1,15,19,25,28,43
234,1,15,20,22,26,44
235,1,15,31,36,40,44
236,1,16,17,25,30,43
237,1,16,18,32,40,44
238,1,16,21,32,35,42
239,1,16,36,39,43,44
240,1,17,18,22,28,34
241,1,17,19,22,26,29
242,1,17,20,26,28,38
243,1,17,24,32,34,43
244,1,17,32,38,42,44
245,1,18,23,24,36,39
246,1,18,24,28,29,30
247,1,19,21,26,30,31
248,1,19,22,29,42,43
249,1,19,24,28,34,39
250,1,19,24,28,35,40
251,1,19,27,28,29,32
252,1,20,24,33,34,36
253,1,20,27,30,40,43
254,1,21,23,29,33,36
255,1,21,25,26,28,29
256,1,23,24,28,33,39
257,1,23,25,36,40,44
258,1,23,33,34,40,42
259,1,25,30,32,33,41
260,1,25,31,35,38,43
261,1,26,29,31,32,44
262,1,28,30,33,37,41
263,1,30,34,38,39,40
264,1,31,32,39,40,41
265,2,3,4,6,15,36
266,2,3,4,9,13,38
267,2,3,5,32,35,43
268,2,3,6,9,31,45
269,2,3,6,11,28,32
270,2,3,6,15,20,26
271,2,3,6,18,26,34
272,2,3,7,8,12,45
273,2,3,7,14,16,26
274,2,3,7,15,40,42
275,2,3,8,12,26,28
276,2,3,9,10,32,40
277,2,3,9,14,25,26
278,2,3,9,23,28,35
279,2,3,10,23,36,40
280,2,3,10,31,37,40
281,2,3,11,14,15,44
282,2,3,12,26,36,45
283,2,3,14,19,31,41
284,2,3,14,30,33,39
285,2,3,15,16,19,38
286,2,3,16,19,37,43
287,2,3,16,28,30,41
288,2,3,16,35,37,41
289,2,3,17,23,42,45
290,2,3,17,25,34,40
291,2,3,19,24,29,41
292,2,3,19,28,32,40
293,2,3,20,23,29,33
294,2,3,21,28,37,39
295,2,3,22,35,36,37
296,2,3,25,28,39,42
297,2,4,5,13,21,29
298,2,4,5,18,20,29
299,2,4,5,18,22,29
300,2,4,6,8,13,35
301,2,4,6,8,33,39
302,2,4,6,13,20,29
303,2,4,6,28,32,36
304,2,4,7,16,17,34
305,2,4,7,18,25,28
306,2,4,9,24,27,34
307,2,4,9,26,29,39
308,2,4,10,15,23,35
309,2,4,10,24,33,43
310,2,4,11,21,29,43
311,2,4,11,39,42,43
312,2,4,13,22,34,41
313,2,4,14,25,29,34
314,2,4,15,17,34,41
315,2,4,15,18,29,41
316,2,4,15,19,35,39
317,2,4,17,18,24,28
318,2,4,17,19,30,44
319,2,4,18,24,30,35
320,2,4,22,34,38,42
321,2,4,23,26,41,44
322,2,4,23,33,37,39
323,2,5,6,7,31,36
324,2,5,6,15,29,31
325,2,5,6,17,24,26
326,2,5,6,18,28,31
327,2,5,7,20,21,26
328,2,5,7,22,26,41
329,2,5,9,17,29,31
330,2,5,9,19,23,40
331,2,5,9,21,29,40
332,2,5,9,24,28,40
333,2,5,10,11,13,30
334,2,5,10,19,31,34
335,2,5,10,28,30,45
336,2,5,11,12,26,34
337,2,5,11,17,19,26
338,2,5,13,20,28,45
339,2,5,14,25,35,40
340,2,5,15,25,33,43
341,2,5,16,17,21,41
342,2,5,16,25,30,37
343,2,5,16,30,32,42
344,2,5,18,22,43,45
345,2,5,19,23,30,41
346,2,5,22,36,39,45
347,2,5,30,33,40,44
348,2,6,7,9,24,27
349,2,6,7,10,12,39
350,2,6,7,11,16,32
351,2,6,7,12,15,27
352,2,6,7,16,22,33
353,2,6,7,18,40,42
354,2,6,7,28,31,32
355,2,6,8,11,13,44
356,2,6,8,15,20,35
357,2,6,9,13,15,19
358,2,6,9,22,27,43
359,2,6,10,12,39,44
360,2,6,10,13,16,30
361,2,6,10,18,36,38
362,2,6,10,18,40,43
363,2,6,11,21,24,26
364,2,6,11,27,29,44
365,2,6,12,14,19,23
366,2,6,13,21,29,43
367,2,6,14,21,28,29
368,2,6,14,28,41,42
369,2,6,16,19,26,33
370,2,6,16,27,38,45
371,2,6,22,26,27,44
372,2,7,9,18,27,40
373,2,7,9,18,30,31
374,2,7,9,19,21,45
375,2,7,9,26,37,42
376,2,7,11,15,25,36
377,2,7,11,26,32,43
378,2,7,11,37,42,43
379,2,7,12,14,28,42
380,2,7,14,20,38,39
381,2,7,14,23,32,36
382,2,7,14,39,42,44
383,2,7,15,22,37,38
384,2,7,15,26,31,36
385,2,7,17,29,41,45
386,2,7,18,21,38,44
387,2,7,19,20,28,40
388,2,7,19,22,35,42
389,2,7,21,22,32,44
390,2,7,24,29,38,45
391,2,8,10,22,34,36
392,2,8,10,33,43,45
393,2,8,11,13,26,34
394,2,8,11,16,20,36
395,2,8,12,14,35,41
396,2,8,12,17,18,23
397,2,8,12,17,18,37
398,2,8,16,24,25,42
399,2,8,16,27,32,40
400,2,8,17,20,25,34
401,2,8,19,21,33,34
402,2,8,20,22,27,30
403,2,8,23,25,40,45
404,2,8,24,25,28,40
405,2,9,12,17,30,42
406,2,9,13,15,21,37
407,2,9,13,21,23,45
408,2,9,13,33,44,45
409,2,9,13,36,41,43
410,2,9,14,19,32,41
411,2,9,16,19,22,33
412,2,9,16,21,31,44
413,2,9,16,22,36,43
414,2,9,17,29,37,42
415,2,9,18,21,24,39
416,2,9,18,24,42,44
417,2,9,20,25,28,43
418,2,9,23,24,38,43
419,2,9,30,31,33,38
420,2,10,12,13,23,30
421,2,10,13,17,21,32
422,2,10,13,29,43,44
423,2,10,14,30,38,40
424,2,10,14,33,40,41
425,2,10,14,40,43,45
426,2,10,18,19,24,43
427,2,10,18,32,39,44
428,2,10,19,21,26,33
429,2,10,24,27,28,36
430,2,10,26,27,31,41
431,2,10,28,33,41,44
432,2,10,38,40,41,44
433,2,11,12,22,27,38
434,2,11,14,16,29,44
435,2,11,14,25,26,35
436,2,11,16,18,38,41
437,2,11,16,20,21,35
438,2,11,17,24,40,42
439,2,11,20,27,34,35
440,2,11,21,22,26,35
441,2,11,21,22,38,40
442,2,11,23,27,37,45
443,2,11,24,33,39,44
444,2,11,25,29,35,43
445,2,11,29,36,37,39
446,2,11,30,31,43,44
447,2,12,14,16,27,39
448,2,12,14,31,36,44
449,2,12,15,17,37,38
450,2,12,17,27,28,33
451,2,12,18,20,21,40
452,2,12,18,20,32,38
453,2,12,21,23,28,44
454,2,13,16,29,34,45
455,2,13,17,29,30,32
456,2,13,17,32,36,40
457,2,13,19,26,33,44
458,2,13,20,27,35,37
459,2,13,21,22,23,25
460,2,13,25,32,37,44
461,2,14,15,18,19,43
462,2,14,16,26,40,44
463,2,14,20,21,24,38
464,2,14,20,22,39,45
465,2,14,20,29,35,45
466,2,14,25,26,34,45
467,2,14,26,30,34,35
468,2,14,27,31,35,43
469,2,14,29,31,39,42
470,2,15,16,34,39,41
471,2,15,19,23,34,41
472,2,15,23,31,42,44
473,2,15,24,25,39,42
474,2,15,25,30,35,43
475,2,15,27,34,37,38
476,2,15,29,40,41,42
477,2,16,17,19,29,45
478,2,16,19,24,34,35
479,2,16,20,24,35,38
480,2,16,20,27,38,45
481,2,16,36,38,41,45
482,2,17,20,23,36,37
483,2,17,20,28,36,44
484,2,17,21,39,40,43
485,2,17,22,24,31,36
486,2,17,24,25,36,45
487,2,18,21,22,27,41
488,2,18,22,24,37,40
489,2,19,20,21,34,43
490,2,19,21,22,29,43
491,2,19,24,32,36,42
492,2,19,25,27,30,38
493,2,19,28,33,38,39
494,2,19,29,33,41,44
495,2,19,30,31,36,42
496,2,20,25,31,32,41
497,2,21,22,29,35,43
498,2,21,22,36,37,41
499,2,21,24,27,36,37
500,2,21,24,34,38,40
501,2,21,30,31,39,44
502,2,21,32,33,37,40
503,2,23,25,29,31,41
504,2,23,26,31,32,40
505,2,23,28,36,40,42
506,2,24,30,34,38,45
507,2,26,27,40,43,44
508,2,31,33,37,41,45
509,3,4,5,11,27,37
510,3,4,5,13,15,27
511,3,4,5,25,32,37
512,3,4,6,15,33,45
513,3,4,8,11,27,36
514,3,4,8,12,17,40
515,3,4,8,15,36,40
516,3,4,9,16,21,39
517,3,4,9,29,34,44
518,3,4,10,20,26,30
519,3,4,11,16,21,41
520,3,4,12,16,25,28
521,3,4,12,17,31,42
522,3,4,14,16,20,44
523,3,4,14,28,33,36
524,3,4,16,18,28,41
525,3,4,16,22,32,35
526,3,4,18,21,23,27
527,3,4,19,28,33,36
528,3,4,23,24,31,35
529,3,4,23,30,42,43
530,3,4,26,31,40,42
531,3,4,37,39,40,44
532,3,5,6,19,30,41
533,3,5,6,33,43,44
534,3,5,7,14,23,42
535,3,5,7,15,20,40
536,3,5,7,15,28,29
537,3,5,8,19,42,45
538,3,5,8,33,39,40
539,3,5,9,12,29,44
540,3,5,9,19,33,42
541,3,5,10,25,30,42
542,3,5,11,27,28,45
543,3,5,12,13,31,45
544,3,5,12,19,32,36
545,3,5,13,22,32,36
546,3,5,14,27,33,37
547,3,5,14,31,33,42
548,3,5,15,17,19,32
549,3,5,15,18,28,32
550,3,5,15,25,29,32
551,3,5,15,31,33,40
552,3,5,18,23,32,45
553,3,5,19,34,38,41
554,3,5,22,36,42,45
555,3,5,26,32,33,35
556,3,5,33,37,41,42
557,3,6,7,14,18,32
558,3,6,7,32,40,41
559,3,6,8,11,16,17
560,3,6,8,17,19,39
561,3,6,8,20,34,42
562,3,6,8,25,35,39
563,3,6,9,12,41,43
564,3,6,9,13,31,37
565,3,6,9,14,21,22
566,3,6,10,15,25,36
567,3,6,10,31,34,40
568,3,6,13,17,27,42
569,3,6,13,22,23,32
570,3,6,13,23,28,33
571,3,6,13,30,41,43
572,3,6,16,19,27,42
573,3,6,16,27,29,30
574,3,6,17,28,39,43
575,3,6,19,22,27,37
576,3,6,19,26,33,45
577,3,6,21,22,23,36
578,3,6,21,26,28,35
579,3,6,23,29,40,41
580,3,6,24,28,35,39
581,3,6,29,30,37,39
582,3,7,8,28,38,45
583,3,7,8,29,34,42
584,3,7,9,28,33,34
585,3,7,11,12,21,43
586,3,7,13,20,23,28
587,3,7,16,21,31,33
588,3,7,16,26,28,44
589,3,7,17,25,30,42
590,3,7,18,26,33,37
591,3,7,24,28,40,43
592,3,8,9,10,14,33
593,3,8,9,10,21,31
594,3,8,9,11,19,41
595,3,8,10,17,28,41
596,3,8,11,16,31,41
597,3,8,13,18,38,40
598,3,8,14,22,41,43
599,3,8,14,25,29,34
600,3,8,18,34,39,42
601,3,8,19,23,32,41
602,3,8,20,21,22,25
603,3,8,20,23,25,35
604,3,8,28,31,35,45
605,3,9,10,12,18,43
606,3,9,12,13,17,39
607,3,9,12,21,27,28
608,3,9,13,32,35,38
609,3,9,16,27,32,37
610,3,9,21,23,29,35
611,3,9,22,25,34,38
612,3,9,37,39,41,45
613,3,10,11,20,23,39
614,3,10,12,16,32,40
615,3,10,12,32,36,38
616,3,10,12,37,42,43
617,3,10,13,14,41,42
618,3,10,14,37,42,43
619,3,10,15,16,18,30
620,3,10,15,20,33,39
621,3,10,16,17,30,32
622,3,10,17,20,21,29
623,3,10,18,39,42,43
624,3,10,19,29,40,45
625,3,10,20,27,37,43
626,3,10,23,31,38,45
627,3,10,24,28,43,44
628,3,10,25,27,33,35
629,3,10,25,27,40,41
630,3,10,25,28,33,36
631,3,10,27,28,31,43
632,3,10,29,31,39,42
633,3,10,30,31,43,45
634,3,10,31,39,40,41
635,3,11,12,17,24,39
636,3,11,14,16,17,36
637,3,11,14,18,19,20
638,3,11,16,30,32,45
639,3,11,17,20,24,35
640,3,11,17,32,39,41
641,3,11,20,22,37,44
642,3,11,21,25,43,44
643,3,11,24,31,34,44
644,3,11,25,31,40,43
645,3,11,25,32,33,43
646,3,11,26,32,33,44
647,3,12,13,17,26,34
648,3,12,13,20,34,41
649,3,12,15,20,35,43
650,3,12,21,26,31,44
651,3,12,21,29,42,44
652,3,12,30,35,36,44
653,3,12,33,35,38,43
654,3,13,14,15,26,34
655,3,13,14,18,20,37
656,3,13,14,18,32,45
657,3,13,15,16,25,35
658,3,13,17,25,26,45
659,3,13,17,30,37,38
660,3,13,19,30,33,39
661,3,13,19,31,35,39
662,3,13,20,22,35,42
663,3,13,20,29,34,35
664,3,13,21,37,38,41
665,3,13,22,23,36,40
666,3,13,23,24,25,41
667,3,13,25,28,29,36
668,3,14,15,31,37,40
669,3,14,16,17,26,28
670,3,14,18,21,23,35
671,3,14,18,22,24,34
672,3,14,19,28,30,31
673,3,14,19,41,42,44
674,3,14,20,22,26,43
675,3,14,20,23,30,34
676,3,14,21,24,30,42
677,3,14,23,25,33,37
678,3,14,23,26,42,43
679,3,14,33,38,40,45
680,3,15,17,22,30,43
681,3,15,18,30,38,43
682,3,15,19,25,27,28
683,3,15,20,28,39,43
684,3,15,21,31,32,36
685,3,15,25,34,39,45
686,3,16,17,19,20,37
687,3,16,19,23,24,44
688,3,16,19,28,33,43
689,3,16,22,24,27,43
690,3,16,26,39,42,44
691,3,17,18,29,32,38
692,3,17,18,29,42,43
693,3,18,19,27,31,43
694,3,18,20,30,33,36
695,3,18,24,29,42,45
696,3,18,25,27,30,35
697,3,18,29,31,34,40
698,3,18,30,37,40,42
699,3,18,33,35,40,43
700,3,19,34,36,42,43
701,3,20,23,27,28,32
702,3,20,24,36,37,40
703,3,20,25,33,35,39
704,3,20,27,35,36,44
705,3,20,30,31,38,44
706,3,20,32,38,42,43
707,3,21,22,23,29,39
708,3,21,26,29,36,37
709,3,21,32,33,43,44
710,3,22,23,24,34,45
711,3,22,27,33,34,37
712,3,23,31,33,39,43
713,3,25,26,28,39,45
714,3,25,26,38,39,43
715,3,26,27,36,40,44
716,3,26,29,31,32,41
717,3,28,29,34,35,39
718,3,33,36,38,39,40
719,4,5,6,12,19,34
720,4,5,7,16,24,32
721,4,5,7,24,29,42
722,4,5,8,9,18,22
723,4,5,8,17,29,42
724,4,5,8,24,35,36
725,4,5,9,11,23,40
726,4,5,9,16,34,42
727,4,5,9,20,23,27
728,4,5,10,14,26,43
729,4,5,10,21,22,31
730,4,5,10,34,41,45
731,4,5,11,20,31,38
732,4,5,12,24,27,35
733,4,5,12,28,29,45
734,4,5,13,22,26,41
735,4,5,13,23,24,40
736,4,5,14,16,19,25
737,4,5,14,30,41,44
738,4,5,15,28,43,45
739,4,5,17,24,30,33
740,4,5,17,28,32,35
741,4,5,18,19,35,40
742,4,5,26,27,30,31
743,4,5,26,31,34,40
744,4,5,26,31,35,39
745,4,6,7,10,13,17
746,4,6,7,10,28,35
747,4,6,7,12,28,40
748,4,6,7,13,36,39
749,4,6,7,24,29,43
750,4,6,7,25,31,36
751,4,6,9,11,12,14
752,4,6,10,23,27,32
753,4,6,10,23,33,43
754,4,6,10,24,30,45
755,4,6,11,12,14,16
756,4,6,11,29,35,36
757,4,6,12,13,16,28
758,4,6,12,17,23,43
759,4,6,12,18,29,42
760,4,6,12,35,38,40
761,4,6,13,26,33,40
762,4,6,13,30,40,43
763,4,6,13,34,39,42
764,4,6,14,16,26,35
765,4,6,14,20,33,45
766,4,6,14,22,38,44
767,4,6,14,31,41,43
768,4,6,16,24,39,44
769,4,6,18,30,32,43
770,4,6,20,22,34,35
771,4,6,24,26,38,43
772,4,6,24,34,35,36
773,4,6,28,31,42,45
774,4,6,34,42,44,45
775,4,7,8,16,17,21
776,4,7,9,17,21,33
777,4,7,10,16,41,45
778,4,7,10,27,32,45
779,4,7,11,16,22,26
780,4,7,12,13,25,45
781,4,7,12,25,29,37
782,4,7,12,27,30,38
783,4,7,13,19,26,34
784,4,7,15,20,41,43
785,4,7,15,22,36,42
786,4,7,15,24,26,29
787,4,7,16,26,34,45
788,4,7,17,18,33,37
789,4,7,19,23,32,33
790,4,7,24,36,37,42
791,4,7,26,35,36,40
792,4,7,31,41,43,45
793,4,8,9,11,13,32
794,4,8,10,22,30,35
795,4,8,11,14,28,41
796,4,8,11,15,24,43
797,4,8,11,24,30,36
798,4,8,13,15,20,32
799,4,8,13,38,43,45
800,4,8,15,17,28,31
801,4,8,16,20,27,42
802,4,8,16,22,30,36
803,4,8,16,26,34,39
804,4,8,17,33,34,44
805,4,8,19,34,40,42
806,4,8,20,21,37,45
807,4,8,20,26,29,32
808,4,8,22,29,33,34
809,4,8,25,26,36,44
810,4,8,25,28,33,38
811,4,8,29,41,42,44
812,4,9,10,20,24,45
813,4,9,10,21,26,37
814,4,9,13,17,33,38
815,4,9,14,27,34,44
816,4,9,18,20,32,42
817,4,9,18,22,24,35
818,4,9,18,29,37,40
819,4,9,20,23,38,44
820,4,9,25,34,37,39
821,4,9,29,31,36,37
822,4,10,11,31,35,43
823,4,10,12,23,30,44
824,4,10,12,35,38,42
825,4,10,13,22,29,32
826,4,10,14,15,22,33
827,4,10,14,19,31,39
828,4,10,14,20,30,44
829,4,10,16,19,21,43
830,4,10,17,24,36,41
831,4,10,17,26,29,35
832,4,10,18,29,34,45
833,4,10,19,22,23,42
834,4,10,19,29,30,43
835,4,10,29,31,44,45
836,4,10,30,31,34,43
837,4,11,12,13,18,33
838,4,11,13,24,31,40
839,4,11,13,30,33,41
840,4,11,13,39,40,45
841,4,11,14,20,26,33
842,4,11,14,28,30,34
843,4,11,15,28,29,35
844,4,11,17,26,35,44
845,4,11,34,35,38,45
846,4,11,34,36,37,41
847,4,12,13,14,20,42
848,4,12,13,16,18,24
849,4,12,14,18,39,41
850,4,12,16,17,22,45
851,4,12,16,20,33,43
852,4,12,19,23,24,29
853,4,12,19,25,29,37
854,4,12,20,32,36,41
855,4,12,23,29,32,43
856,4,12,24,34,37,40
857,4,12,30,31,34,39
858,4,13,14,19,40,43
859,4,13,21,26,32,33
860,4,13,21,37,38,41
861,4,13,26,29,40,41
862,4,13,29,38,41,42
863,4,14,18,26,30,38
864,4,14,20,29,33,44
865,4,14,21,27,33,44
866,4,14,22,34,35,43
867,4,14,25,26,33,45
868,4,14,27,30,32,39
869,4,15,16,17,37,42
870,4,15,16,22,27,30
871,4,15,16,28,35,42
872,4,15,17,20,34,35
873,4,15,17,22,26,43
874,4,15,17,30,42,45
875,4,15,18,25,31,40
876,4,15,18,32,36,44
877,4,15,19,32,40,41
878,4,15,20,21,23,25
879,4,15,20,21,32,35
880,4,15,24,28,41,42
881,4,15,28,38,41,45
882,4,16,17,30,41,42
883,4,16,17,31,35,37
884,4,16,18,32,36,43
885,4,16,21,27,31,42
886,4,16,24,27,34,37
887,4,16,26,29,32,39
888,4,16,26,35,39,40
889,4,17,27,28,35,42
890,4,17,29,33,37,44
891,4,17,37,40,43,45
892,4,18,20,22,31,43
893,4,18,29,41,42,45
894,4,19,20,36,38,39
895,4,19,21,27,38,43
896,4,19,21,34,40,43
897,4,19,22,24,25,43
898,4,19,24,32,38,43
899,4,19,28,33,36,44
900,4,20,22,26,34,45
901,4,20,24,26,27,44
902,4,20,29,31,34,39
903,4,20,29,40,41,42
904,4,20,30,33,38,44
905,4,20,33,34,38,44
906,4,21,22,30,37,40
907,4,23,26,29,32,40
908,4,24,25,34,39,41
909,4,24,26,27,32,42
910,4,24,32,33,38,45
911,4,26,30,36,38,43
912,4,27,28,29,30,38
913,4,27,28,30,36,38
914,4,27,29,31,32,44
915,4,29,35,36,40,43
916,5,6,7,8,19,42
917,5,6,7,10,29,43
918,5,6,7,12,18,38
919,5,6,7,19,21,37
920,5,6,8,12,13,30
921,5,6,8,14,18,40
922,5,6,8,16,26,45
923,5,6,8,25,33,35
924,5,6,9,10,16,34
925,5,6,10,11,12,24
926,5,6,10,11,26,39
927,5,6,10,12,24,28
928,5,6,12,16,19,27
929,5,6,14,18,23,36
930,5,6,14,21,33,45
931,5,6,15,19,25,26
932,5,6,17,21,23,29
933,5,6,18,22,39,40
934,5,6,22,24,38,45
935,5,6,22,27,33,36
936,5,7,8,37,41,42
937,5,7,10,14,30,43
938,5,7,10,15,36,43
939,5,7,10,33,34,40
940,5,7,11,26,30,44
941,5,7,12,15,32,35
942,5,7,12,16,36,45
943,5,7,13,16,37,38
944,5,7,13,27,41,42
945,5,7,14,17,21,26
946,5,7,14,17,21,28
947,5,7,14,22,27,41
948,5,7,15,17,34,41
949,5,7,15,30,39,40
950,5,7,17,22,26,29
951,5,7,17,23,27,31
952,5,7,24,32,33,41
953,5,7,25,29,30,39
954,5,8,9,14,20,22
955,5,8,9,14,34,37
956,5,8,10,13,27,32
957,5,8,10,14,19,21
958,5,8,10,14,21,31
959,5,8,10,29,31,36
960,5,8,12,14,27,45
961,5,8,12,17,19,21
962,5,8,12,25,29,31
963,5,8,13,15,32,34
964,5,8,15,22,28,44
965,5,8,15,30,32,34
966,5,8,16,26,28,36
967,5,8,17,19,30,36
968,5,8,19,22,31,42
969,5,8,19,23,27,39
970,5,8,25,31,33,37
971,5,8,28,34,37,41
972,5,8,31,34,41,43
973,5,9,10,15,20,40
974,5,9,11,18,39,45
975,5,9,11,26,33,41
976,5,9,12,22,30,40
977,5,9,12,28,32,34
978,5,9,13,19,25,28
979,5,9,14,19,26,36
980,5,9,14,26,32,44
981,5,9,14,34,35,44
982,5,9,15,32,39,40
983,5,9,18,22,33,35
984,5,9,18,37,39,45
985,5,9,21,22,43,44
986,5,9,21,25,35,42
987,5,9,32,41,43,45
988,5,10,11,16,21,42
989,5,10,18,22,40,45
990,5,10,19,20,24,29
991,5,10,19,30,35,38
992,5,10,28,29,31,32
993,5,10,28,32,38,45
994,5,11,12,14,20,40
995,5,11,12,33,36,40
996,5,11,16,23,26,43
997,5,11,16,25,27,32
