No,Group,No1,No2,No3,No4,No5,No6
123,1,3,3,1,6,1,1
124,1,3,3,3,5,4,0
125,1,3,3,6,4,7,6
126,1,3,3,7,2,2,0
127,1,3,3,8,1,2,6
128,1,3,4,1,0,6,0
129,1,3,4,1,9,1,7
130,1,3,4,4,8,5,6
131,1,3,4,5,7,3,1
132,1,3,4,6,6,9,8
133,1,3,4,9,9,3,2
134,1,3,5,2,0,4,6
135,1,3,6,9,7,0,6
136,1,3,7,0,8,8,2
137,1,3,7,2,0,7,8
138,1,3,7,6,9,5,1
139,1,3,7,9,1,6,0
140,1,3,8,0,7,3,6
141,1,3,8,4,4,3,6
142,1,3,8,5,5,0,8
143,1,3,8,7,0,5,1
144,1,3,8,7,6,3,9
145,1,3,8,9,4,2,7
146,1,3,8,9,5,9,6
147,1,3,9,1,6,3,3
148,1,3,9,8,1,9,3
149,1,4,0,1,6,0,3
150,1,4,0,2,4,3,6
151,1,4,0,4,6,9,8
152,1,4,0,5,3,0,1
153,1,4,0,6,1,9,9
154,1,4,0,6,7,0,3
155,1,4,0,8,5,1,4
156,1,4,0,9,7,3,5
157,1,4,1,7,9,7,1
158,1,4,1,8,0,3,2
159,1,4,2,0,5,9,0
160,1,4,3,1,9,3,7
161,1,4,3,2,4,4,8
162,1,4,3,5,5,0,6
163,1,4,3,7,7,2,5
164,1,4,4,0,6,5,5
165,1,4,4,1,3,4,5
166,1,4,4,8,1,4,0
167,1,4,4,8,5,2,5
168,1,4,5,5,0,1,3
169,1,4,5,6,1,7,3
170,1,4,5,9,2,4,3
171,1,4,6,0,3,4,4
172,1,4,6,0,8,0,1
173,1,4,6,1,5,1,1
174,1,4,6,4,1,3,2
175,1,4,6,4,7,7,1
176,1,4,6,6,2,5,2
177,1,4,6,8,8,9,4
178,1,4,6,9,3,6,3
179,1,4,7,0,6,8,1
180,1,4,7,0,7,4,4
181,1,4,7,1,5,0,7
182,1,4,7,1,6,3,3
183,1,4,7,2,2,8,4
184,1,4,7,2,6,4,2
185,1,4,7,5,9,8,3
186,1,4,7,6,6,0,7
187,1,4,8,1,8,1,0
188,1,4,8,1,9,6,1
189,1,4,8,3,2,5,1
190,1,4,8,6,1,1,8
191,1,4,8,6,5,7,8
192,1,4,8,8,6,0,9
193,1,4,8,9,9,0,7
194,1,4,9,1,3,2,3
195,1,4,9,3,1,7,7
196,1,4,9,8,9,0,0
197,1,5,0,0,6,0,9
198,1,5,0,3,1,6,9
199,1,5,0,5,1,3,1
200,1,5,0,6,6,1,9
201,1,5,0,7,2,9,4
202,1,5,2,1,9,8,6
203,1,5,2,5,7,3,1
204,1,5,2,8,1,2,7
205,1,5,2,8,9,8,6
206,1,5,2,9,0,3,0
207,1,5,3,0,6,6,8
208,1,5,3,4,9,9,7
209,1,5,3,7,9,0,1
210,1,5,4,2,6,3,7
211,1,5,4,3,4,1,0
212,1,5,4,7,1,6,4
213,1,5,5,1,8,7,6
214,1,5,5,6,3,8,2
215,1,5,5,6,4,4,0
216,1,5,6,2,0,7,6
217,1,5,6,3,6,5,7
218,1,5,6,9,2,8,1
219,1,5,7,3,4,4,2
220,1,5,7,5,9,1,0
221,1,5,7,6,3,3,1
222,1,5,8,4,5,1,5
223,1,5,8,6,6,8,3
224,1,5,8,7,8,7,6
225,1,5,9,1,7,6,4
226,1,5,9,2,2,8,5
227,1,5,9,3,6,7,7
228,1,5,9,4,4,3,5
229,1,5,9,5,0,4,5
230,1,6,0,1,5,2,4
231,1,6,0,1,8,9,5
232,1,6,0,4,8,8,7
233,1,6,0,7,6,7,0
234,1,6,0,8,9,1,3
235,1,6,0,9,3,6,6
236,1,6,1,2,1,0,5
237,1,6,2,0,1,5,1
238,1,6,2,0,7,4,2
239,1,6,2,3,4,7,1
240,1,6,2,7,6,3,8
241,1,6,2,8,5,8,3
242,1,6,2,9,1,8,0
243,1,6,3,2,7,5,4
244,1,6,3,4,5,7,4
245,1,6,3,5,1,8,6
246,1,6,3,7,1,3,8
247,1,6,3,8,1,1,3
248,1,6,4,2,0,6,5
249,1,6,4,2,3,4,5
250,1,6,4,3,6,7,7
251,1,6,4,5,8,8,3
252,1,6,4,7,8,6,1
253,1,6,5,2,3,0,7
254,1,6,5,3,4,4,6
255,1,6,5,5,5,3,3
256,1,6,5,7,1,0,5
257,1,6,6,0,4,4,5
258,1,6,6,1,1,5,0
259,1,6,6,1,2,7,2
260,1,6,7,3,1,9,4
261,1,6,7,5,8,6,2
262,1,6,7,7,7,5,2
263,1,6,8,2,2,9,4
264,1,6,8,4,1,5,8
265,1,6,8,5,2,2,2
266,1,6,8,6,0,0,7
267,1,6,9,4,8,0,5
268,1,6,9,5,4,5,8
269,1,6,9,7,3,5,2
270,1,6,9,7,9,5,4
271,1,6,9,9,4,7,9
272,1,7,0,0,5,9,5
273,1,7,0,0,6,8,7
274,1,7,0,1,2,0,9
275,1,7,0,1,5,5,4
276,1,7,0,7,3,0,7
277,1,7,0,9,5,7,8
278,1,7,1,0,2,3,2
279,1,7,1,1,1,5,2
280,1,7,1,4,3,0,1
281,1,7,1,4,3,6,6
282,1,7,1,8,4,2,2
283,1,7,1,9,6,1,2
284,1,7,2,0,2,3,5
285,1,7,2,4,1,6,3
286,1,7,2,5,7,3,4
287,1,7,3,0,3,4,0
288,1,7,3,7,5,6,7
289,1,7,3,9,5,2,8
290,1,7,4,0,9,9,2
291,1,7,4,2,6,7,5
292,1,7,4,4,5,6,0
293,1,7,4,5,9,2,4
294,1,7,4,9,1,7,3
295,1,7,5,1,5,6,4
296,1,7,5,1,6,7,8
297,1,7,5,7,0,3,3
298,1,7,6,2,8,2,0
299,1,7,6,4,3,4,7
300,1,7,6,6,1,9,5
301,1,7,6,8,3,5,5
302,1,7,7,0,5,1,4
303,1,7,7,2,7,7,7
304,1,7,7,4,7,1,4
305,1,7,7,6,2,9,4
306,1,7,7,7,1,1,2
307,1,7,7,7,4,3,6
308,1,7,8,1,1,1,9
309,1,7,8,2,1,2,4
310,1,7,8,6,1,0,1
311,1,7,8,7,5,7,9
312,1,7,9,1,6,0,3
313,1,7,9,3,1,7,6
314,1,7,9,5,4,1,5
315,1,8,0,0,2,1,7
316,1,8,0,1,9,4,6
317,1,8,0,7,7,4,2
318,1,8,0,9,3,0,5
319,1,8,0,9,9,9,0
320,1,8,1,0,6,4,3
321,1,8,1,3,2,4,0
322,1,8,1,7,1,3,2
323,1,8,2,2,7,6,3
324,1,8,2,6,7,3,4
325,1,8,2,9,0,8,6
326,1,8,2,9,5,7,3
327,1,8,3,0,3,1,5
328,1,8,3,1,7,5,7
329,1,8,3,3,0,8,0
330,1,8,3,3,3,9,6
331,1,8,3,6,7,9,9
332,1,8,3,7,8,2,8
333,1,8,3,7,9,1,6
334,1,8,3,9,3,8,8
335,1,8,4,1,5,7,8
336,1,8,4,7,4,2,8
337,1,8,4,8,2,1,2
338,1,8,5,0,1,5,5
339,1,8,5,1,8,1,0
340,1,8,5,6,0,0,3
341,1,8,5,9,1,5,0
342,1,8,5,9,9,0,0
343,1,8,6,1,1,0,2
344,1,8,6,2,8,1,5
345,1,8,6,3,6,5,4
346,1,8,7,0,9,0,8
347,1,8,7,1,0,5,0
348,1,8,7,1,9,3,0
349,1,8,7,2,8,5,5
350,1,8,7,5,6,6,3
351,1,8,7,7,6,2,4
352,1,8,8,2,7,3,7
353,1,8,8,2,9,8,4
354,1,9,0,0,9,0,8
355,1,9,0,5,4,1,7
356,1,9,1,0,7,4,4
357,1,9,1,2,3,9,4
358,1,9,1,2,5,0,2
359,1,9,2,0,8,2,9
360,1,9,2,0,9,8,5
361,1,9,2,2,6,7,4
362,1,9,2,3,9,2,1
363,1,9,2,4,0,9,0
364,1,9,2,4,2,5,3
365,1,9,2,7,7,1,7
366,1,9,2,9,4,0,6
367,1,9,3,0,7,4,7
368,1,9,3,1,4,1,1
369,1,9,3,4,7,4,3
370,1,9,3,4,7,9,6
371,1,9,3,5,8,7,5
372,1,9,3,6,3,8,0
373,1,9,4,0,9,0,4
374,1,9,4,1,9,6,0
375,1,9,4,2,6,8,9
376,1,9,4,7,1,3,1
377,1,9,5,5,1,6,9
378,1,9,6,2,2,6,6
379,1,9,6,4,9,1,3
380,1,9,6,5,5,7,8
381,1,9,7,3,0,0,0
382,1,9,7,5,8,8,2
383,1,9,8,1,0,8,9
384,1,9,8,2,6,3,2
385,1,9,8,3,7,2,0
386,1,9,8,6,2,2,2
387,1,9,8,6,2,7,6
388,1,9,8,9,1,6,0
389,1,9,8,9,7,0,1
390,1,9,9,2,3,0,1
391,1,9,9,6,6,7,0
392,1,9,9,7,1,5,4
393,1,9,9,8,7,4,2
394,2,0,0,0,9,9,4
395,2,0,0,1,1,1,0
396,2,0,0,5,0,0,8
397,2,0,0,5,9,2,5
398,2,0,0,6,3,4,1
399,2,0,1,5,7,0,4
400,2,0,1,7,8,6,8
401,2,0,2,0,5,0,3
402,2,0,2,2,6,3,7
403,2,0,2,3,2,2,7
404,2,0,2,4,0,7,7
405,2,0,2,5,9,6,6
406,2,0,2,6,7,5,6
407,2,0,3,0,1,4,3
408,2,0,3,0,7,6,0
409,2,0,3,1,1,0,1
410,2,0,3,2,2,1,5
411,2,0,3,3,5,3,5
412,2,0,3,4,1,0,1
413,2,0,3,7,5,0,9
414,2,0,3,9,7,0,2
415,2,0,4,0,8,9,7
416,2,0,4,2,9,3,1
417,2,0,4,3,2,3,8
418,2,0,4,3,3,4,8
419,2,0,4,8,4,7,2
420,2,0,5,3,4,9,0
421,2,0,5,5,8,3,9
422,2,0,5,7,2,7,3
423,2,0,7,2,7,4,8
424,2,0,7,7,1,7,6
425,2,0,7,9,0,2,3
426,2,0,8,4,6,6,3
427,2,0,8,9,2,7,9
428,2,0,8,9,6,9,0
429,2,0,9,0,7,5,0
430,2,0,9,2,7,9,2
431,2,0,9,8,6,0,3
432,2,1,0,1,6,1,7
433,2,1,0,7,9,6,9
434,2,1,1,0,8,6,2
435,2,1,1,6,2,6,2
436,2,1,1,7,1,1,8
437,2,1,1,7,3,8,9
438,2,1,1,9,3,0,5
439,2,1,2,1,5,3,7
440,2,1,2,2,7,3,0
441,2,1,2,4,8,3,5
442,2,1,2,6,3,2,3
443,2,1,2,6,5,7,8
444,2,1,3,0,1,9,9
445,2,1,3,0,8,7,0
446,2,1,3,2,2,1,6
447,2,1,3,3,5,2,8
448,2,1,3,4,9,7,8
449,2,1,3,9,0,2,2
450,2,1,4,0,0,6,5
451,2,1,4,1,7,7,3
452,2,1,4,4,3,8,4
453,2,1,5,2,4,5,1
454,2,1,5,5,8,1,9
455,2,1,5,6,3,7,0
456,2,1,6,0,7,2,1
457,2,1,6,2,8,8,3
458,2,1,6,3,5,6,7
459,2,1,6,5,7,3,9
460,2,1,7,2,1,0,8
461,2,1,8,0,4,4,9
462,2,1,8,1,1,8,7
463,2,1,8,8,0,0,4
464,2,1,8,9,7,8,0
465,2,1,9,0,5,3,4
466,2,1,9,3,7,6,0
467,2,1,9,7,3,4,7
468,2,1,9,8,7,2,2
469,2,2,0,2,1,0,7
470,2,2,0,2,8,7,5
471,2,2,0,6,3,5,2
472,2,2,0,9,0,3,4
473,2,2,0,9,6,8,1
474,2,2,0,9,7,7,1
475,2,2,1,3,3,4,6
476,2,2,1,3,8,6,5
477,2,2,1,5,8,6,1
478,2,2,1,6,9,4,8
479,2,2,1,8,5,5,4
480,2,2,1,8,8,1,7
481,2,2,2,2,3,9,9
482,2,2,2,5,8,4,2
483,2,2,3,0,2,5,4
484,2,2,3,1,4,8,6
485,2,2,3,5,0,9,9
486,2,2,3,8,0,0,0
487,2,2,3,8,1,9,0
488,2,2,4,1,9,7,3
489,2,2,4,3,3,1,4
490,2,2,4,3,3,2,2
491,2,2,4,3,4,0,8
492,2,2,4,7,3,6,5
493,2,2,5,0,1,0,4
494,2,2,5,1,8,1,0
495,2,2,5,1,9,3,0
496,2,2,5,6,1,5,1
497,2,2,5,8,4,6,8
498,2,2,6,1,6,0,9
499,2,2,6,7,1,4,2
500,2,2,6,8,4,5,2
501,2,2,7,0,3,8,5
502,2,2,7,0,5,5,5
503,2,2,7,1,6,2,0
504,2,2,7,1,6,4,1
505,2,2,7,5,3,3,5
506,2,2,7,9,9,3,9
507,2,2,8,0,4,1,0
508,2,2,8,0,4,9,7
509,2,2,8,1,0,7,1
510,2,2,8,2,5,6,4
511,2,2,8,4,3,0,6
512,2,2,8,5,7,4,9
513,2,2,8,7,0,4,0
514,2,2,9,1,5,1,3
515,2,2,9,2,1,4,6
516,2,2,9,2,8,2,7
517,2,2,9,3,3,6,1
518,2,2,9,4,2,8,6
519,2,2,9,4,3,7,4
520,2,2,9,5,1,3,0
521,2,2,9,8,9,8,0
522,2,3,0,1,9,2,0
523,2,3,0,4,1,7,5
524,2,3,0,6,1,0,1
525,2,3,0,7,9,3,0
526,2,3,0,9,6,9,6
527,2,3,1,5,0,5,1
528,2,3,1,7,8,9,1
529,2,3,1,8,0,0,1
530,2,3,1,8,4,5,9
531,2,3,2,4,1,4,2
532,2,3,2,6,2,2,0
533,2,3,3,3,2,5,2
534,2,3,3,3,4,7,8
535,2,3,3,7,4,8,9
536,2,3,3,8,9,4,4
537,2,3,4,1,4,6,7
538,2,3,4,6,6,7,0
539,2,3,4,8,4,3,8
540,2,3,4,8,6,8,1
541,2,3,4,9,5,5,2
542,2,3,5,0,1,4,9
543,2,3,5,1,6,8,7
544,2,3,5,1,7,8,5
545,2,3,6,6,7,7,7
546,2,3,6,8,7,9,7
547,2,3,7,1,1,2,0
548,2,3,7,2,0,3,2
549,2,3,7,3,0,8,1
550,2,3,7,4,5,2,2
551,2,3,7,5,7,7,4
552,2,3,7,9,4,2,5
553,2,3,7,9,4,5,2
554,2,3,8,1,1,9,5
555,2,3,8,1,3,9,6
556,2,3,8,6,2,4,2
557,2,3,8,6,6,2,4
558,2,3,8,7,1,6,1
559,2,3,8,9,1,0,6
560,2,3,9,0,9,2,0
561,2,3,9,2,1,4,3
562,2,3,9,5,6,3,0
563,2,3,9,6,2,7,9
564,2,3,9,8,1,1,4
565,2,4,0,3,2,0,1
566,2,4,0,3,7,0,0
567,2,4,0,5,2,2,0
568,2,4,0,5,6,4,0
569,2,4,0,6,2,6,1
570,2,4,0,7,1,9,2
571,2,4,0,7,8,5,7
572,2,4,0,9,2,2,4
573,2,4,1,0,6,4,4
574,2,4,1,6,3,6,7
575,2,4,1,7,0,1,1
576,2,4,2,7,3,9,2
577,2,4,2,7,5,1,8
578,2,4,3,0,3,0,9
579,2,4,3,3,8,1,4
580,2,4,3,6,7,3,9
581,2,4,4,1,3,0,3
582,2,4,4,7,1,7,3
583,2,4,4,8,1,9,0
584,2,4,4,8,5,1,0
585,2,4,4,9,3,2,7
586,2,4,4,9,8,5,6
587,2,4,5,3,8,1,3
588,2,4,5,9,4,4,5
589,2,4,6,1,1,4,4
590,2,4,6,1,5,0,3
591,2,4,6,2,0,5,7
592,2,4,6,4,2,2,3
593,2,4,6,5,4,8,5
594,2,4,6,6,3,0,8
595,2,4,6,6,8,3,8
596,2,4,6,7,3,2,9
597,2,4,6,9,9,7,7
598,2,4,7,1,6,5,0
599,2,4,7,4,0,1,8
600,2,4,7,6,1,7,0
601,2,4,7,7,1,9,0
602,2,4,7,9,8,8,2
603,2,4,8,0,6,1,6
604,2,4,8,1,3,0,0
605,2,4,8,3,3,2,6
606,2,4,8,6,7,5,3
607,2,4,8,6,9,1,9
608,2,4,8,7,7,4,9
609,2,4,8,8,2,7,2
610,2,4,9,4,1,5,5
611,2,4,9,8,9,1,8
612,2,5,0,0,0,9,2
613,2,5,0,0,3,1,2
614,2,5,0,4,9,3,6
615,2,5,0,5,5,2,3
616,2,5,0,6,8,4,8
617,2,5,0,6,9,0,3
618,2,5,1,5,6,0,3
619,2,5,1,6,2,2,2
620,2,5,1,6,9,1,7
621,2,5,1,8,5,9,9
622,2,5,1,9,3,2,4
623,2,5,1,9,3,5,2
624,2,5,1,9,7,9,0
625,2,5,2,1,5,1,3
626,2,5,2,2,5,9,9
627,2,5,2,4,9,7,2
628,2,5,2,9,2,7,7
629,2,5,3,6,5,6,3
630,2,5,3,8,7,9,8
631,2,5,3,9,1,7,6
632,2,5,3,9,4,8,2
633,2,5,4,2,8,3,6
634,2,5,4,3,1,7,5
635,2,5,4,6,4,8,5
636,2,5,4,9,2,7,8
637,2,5,5,1,0,2,6
638,2,5,5,9,4,6,7
639,2,5,5,9,9,5,4
640,2,5,6,2,3,2,5
641,2,5,6,4,0,4,4
642,2,5,6,6,8,5,4
643,2,5,7,2,2,5,4
644,2,5,7,6,7,3,2
645,2,5,7,9,1,0,8
646,2,5,7,9,4,3,1
647,2,5,8,0,1,0,6
648,2,5,8,2,7,2,0
649,2,5,8,2,8,0,9
650,2,5,8,4,3,7,7
651,2,5,8,6,1,1,6
652,2,5,8,7,5,5,3
653,2,5,8,9,8,8,3
654,2,5,9,0,6,3,5
655,2,5,9,2,0,0,6
656,2,5,9,2,5,0,9
657,2,5,9,4,7,3,2
658,2,6,0,0,6,1,2
659,2,6,0,5,3,6,9
660,2,6,1,1,5,8,6
661,2,6,1,3,6,0,3
662,2,6,1,3,8,7,4
663,2,6,1,3,9,7,6
664,2,6,1,5,6,6,5
665,2,6,1,6,7,2,7
666,2,6,1,7,7,9,9
667,2,6,2,0,4,4,7
668,2,6,2,0,5,2,2
669,2,6,2,2,7,8,4
670,2,6,2,4,3,2,9
671,2,6,2,5,7,8,7
672,2,6,2,6,7,8,7
673,2,6,2,7,1,6,2
674,2,6,3,0,6,6,3
675,2,6,3,8,6,4,6
676,2,6,3,9,1,4,9
677,2,6,3,9,5,2,1
678,2,6,3,9,7,6,9
679,2,6,4,1,6,9,8
680,2,6,4,1,7,5,7
681,2,6,4,2,4,1,3
682,2,6,4,8,6,1,1
683,2,6,5,2,4,2,0
684,2,6,5,4,6,0,6
685,2,6,6,1,9,4,2
686,2,6,6,3,6,4,2
687,2,6,6,8,0,8,3
688,2,6,7,3,3,4,9
689,2,6,7,4,5,3,4
690,2,6,7,5,2,6,9
691,2,6,7,5,3,0,5
692,2,6,7,5,9,9,9
693,2,6,7,7,4,3,2
694,2,6,7,7,5,9,5
695,2,6,7,8,2,1,7
696,2,6,8,1,6,8,4
697,2,6,8,9,7,1,2
698,2,7,0,1,1,4,0
699,2,7,0,3,7,2,1
700,2,7,0,6,6,0,4
701,2,7,1,2,9,1,7
702,2,7,1,3,9,4,7
703,2,7,1,5,2,0,5
704,2,7,1,7,1,6,2
705,2,7,1,7,6,2,0
706,2,7,2,2,5,1,1
707,2,7,2,3,2,8,8
708,2,7,2,4,0,6,4
709,2,7,2,4,2,3,0
710,2,7,2,9,0,2,2
711,2,7,2,9,2,0,4
712,2,7,3,2,5,5,7
713,2,7,3,2,9,0,5
714,2,7,3,6,6,7,4
715,2,7,3,9,6,0,2
716,2,7,4,0,0,4,4
717,2,7,4,1,4,7,5
718,2,7,4,4,6,1,4
719,2,7,4,5,0,0,0
720,2,7,5,0,3,9,7
721,2,7,5,0,9,7,0
722,2,7,5,1,8,7,8
723,2,7,5,3,5,0,6
724,2,7,5,3,8,4,6
725,2,7,5,8,6,7,2
726,2,7,6,3,9,6,1
727,2,7,6,8,1,1,3
728,2,7,6,8,5,4,7
729,2,7,7,0,2,2,2
730,2,7,7,2,6,1,6
731,2,7,7,2,7,2,5
732,2,7,7,3,8,0,2
733,2,7,8,1,4,2,0
734,2,7,8,2,8,4,4
735,2,7,8,3,7,0,4
736,2,7,8,4,2,8,9
737,2,7,8,4,4,7,4
738,2,7,8,7,8,0,1
739,2,7,8,8,9,7,4
740,2,7,9,4,9,9,3
741,2,7,9,5,2,8,2
742,2,7,9,7,7,2,2
743,2,7,9,8,6,5,5
744,2,8,0,1,9,9,0
745,2,8,0,6,7,9,8
746,2,8,1,2,0,6,6
747,2,8,1,7,8,4,2
748,2,8,2,1,2,2,2
749,2,8,2,2,5,3,0
750,2,8,2,3,0,3,0
751,2,8,2,3,9,8,4
752,2,8,2,5,0,3,4
753,2,8,2,5,4,3,8
754,2,8,2,6,5,2,9
755,2,8,2,8,1,7,6
756,2,8,2,8,4,0,3
757,2,8,3,0,3,4,9
758,2,8,3,3,6,1,1
759,2,8,3,4,3,2,4
760,2,8,4,3,1,3,8
761,2,8,4,5,7,3,9
762,2,8,4,7,2,6,4
763,2,8,4,8,2,5,0
764,2,8,5,1,5,5,6
765,2,8,5,3,5,9,9
766,2,8,5,7,1,0,1
767,2,8,5,9,3,9,0
768,2,8,5,9,5,7,0
769,2,8,6,0,5,6,1
770,2,8,6,1,9,1,5
771,2,8,6,2,0,3,4
772,2,8,6,6,7,7,2
773,2,8,6,8,7,1,6
774,2,8,7,0,8,4,1
775,2,8,7,2,2,8,7
776,2,8,7,4,0,0,6
777,2,8,7,6,8,3,4
778,2,8,8,1,1,0,9
779,2,8,8,1,1,9,1
780,2,8,8,4,0,8,7
781,2,8,8,4,1,6,1
782,2,8,8,7,0,1,5
783,2,8,8,8,9,9,0
784,2,8,9,7,1,1,1
785,2,8,9,8,2,9,8
786,2,9,0,1,6,0,8
787,2,9,0,1,8,0,1
788,2,9,0,5,8,6,9
789,2,9,0,8,8,5,7
790,2,9,1,1,8,3,1
791,2,9,1,2,9,4,6
792,2,9,1,4,2,7,9
793,2,9,1,7,9,8,3
794,2,9,2,0,2,2,5
795,2,9,2,2,4,4,7
796,2,9,2,4,3,4,9
797,2,9,2,5,0,2,1
798,2,9,2,5,2,3,9
799,2,9,2,7,1,9,4
800,2,9,2,7,4,7,2
801,2,9,2,7,9,2,5
802,2,9,3,0,2,9,2
803,2,9,3,4,3,3,8
804,2,9,3,4,5,1,0
805,2,9,3,4,9,6,1
806,2,9,3,5,2,4,8
807,2,9,3,8,7,4,3
808,2,9,4,3,3,5,1
809,2,9,4,3,7,5,1
810,2,9,4,6,0,7,4
811,2,9,4,7,5,5,5
812,2,9,4,9,4,3,4
813,2,9,5,1,9,6,1
814,2,9,5,3,6,5,4
815,2,9,5,4,4,7,1
816,2,9,5,7,2,2,0
817,2,9,6,4,0,0,1
818,2,9,6,4,5,3,9
819,2,9,6,7,0,2,1
820,2,9,6,9,3,3,4
821,2,9,7,6,3,4,7
822,2,9,7,9,5,2,9
823,2,9,8,4,2,6,5
824,2,9,8,8,7,7,7
825,2,9,8,9,6,6,2
826,2,9,8,9,9,1,4
827,2,9,9,1,8,9,0
828,2,9,9,8,5,7,1
829,3,0,0,1,4,2,6
830,3,0,0,5,3,2,5
831,3,0,0,8,7,5,0
832,3,0,1,4,2,7,7
833,3,0,2,3,1,5,8
834,3,0,3,1,0,4,4
835,3,0,3,1,1,5,3
836,3,0,3,9,3,4,9
837,3,0,4,6,8,9,0
838,3,0,4,9,3,6,5
839,3,0,4,9,7,8,2
840,3,0,5,2,8,8,4
841,3,0,5,8,9,8,3
842,3,0,5,9,8,1,7
843,3,0,6,6,2,4,7
844,3,0,7,1,9,3,6
845,3,0,7,2,5,8,6
846,3,0,7,2,6,9,7
847,3,0,7,3,4,8,0
848,3,0,7,4,5,8,2
849,3,0,7,6,2,8,2
850,3,0,7,6,3,4,5
851,3,0,7,6,9,3,6
852,3,0,7,9,9,5,0
853,3,0,8,0,5,5,0
854,3,0,8,1,0,3,1
855,3,0,8,6,1,6,6
856,3,0,8,8,0,8,1
857,3,0,8,8,4,6,5
858,3,0,8,9,6,9,5
859,3,0,8,9,9,0,8
860,3,0,9,1,6,9,4
861,3,0,9,3,2,3,3
862,3,0,9,4,6,2,8
863,3,0,9,4,7,3,7
864,3,0,9,8,0,3,2
865,3,0,9,9,7,3,2
866,3,0,9,9,8,1,9
867,3,1,0,2,3,7,8
868,3,1,0,5,9,8,1
869,3,1,0,9,2,6,6
870,3,1,1,4,5,9,0
871,3,1,1,4,8,5,1
872,3,1,1,4,9,1,5
