No,Group,No1,No2,No3,No4,No5,No6
153,1,3,5,9,5,9,8
154,1,3,6,4,1,8,7
155,1,3,6,6,1,3,0
156,1,3,6,9,1,0,7
157,1,3,7,1,8,9,1
158,1,3,7,2,0,2,1
159,1,3,7,2,8,0,5
160,1,3,7,5,2,0,7
161,1,3,7,5,8,1,6
162,1,3,7,5,9,2,2
163,1,3,7,6,1,2,9
164,1,3,7,7,8,4,7
165,1,3,7,8,9,9,4
166,1,3,7,9,2,8,3
167,1,3,8,0,6,2,9
168,1,3,8,0,9,5,2
169,1,3,8,1,9,5,7
170,1,3,8,2,8,2,2
171,1,3,8,3,1,4,8
172,1,3,8,4,2,0,5
173,1,3,8,7,7,9,4
174,1,3,8,9,0,6,4
175,1,3,9,0,1,9,6
176,1,3,9,0,3,1,8
177,1,3,9,0,8,1,1
178,1,3,9,0,8,4,9
179,1,3,9,7,0,1,0
180,1,3,9,7,2,2,3
181,1,4,0,3,2,9,8
182,1,4,0,5,9,0,8
183,1,4,0,9,7,8,3
184,1,4,1,0,0,6,6
185,1,4,1,3,7,9,0
186,1,4,1,7,3,0,5
187,1,4,2,0,8,8,7
188,1,4,2,2,6,2,7
189,1,4,2,2,8,1,7
190,1,4,2,3,3,7,1
191,1,4,2,3,4,1,7
192,1,4,2,4,2,7,0
193,1,4,2,4,5,9,0
194,1,4,2,4,6,3,8
195,1,4,3,6,0,8,0
196,1,4,3,6,4,8,9
197,1,4,3,9,2,4,1
198,1,4,4,2,7,6,5
199,1,4,5,5,4,6,6
200,1,4,5,7,5,5,3
201,1,4,5,8,2,7,4
202,1,4,5,8,9,0,6
203,1,4,6,4,0,8,7
204,1,4,6,6,3,1,1
205,1,4,7,1,6,6,6
206,1,4,7,1,6,6,8
207,1,4,7,4,9,7,8
208,1,4,7,7,2,5,4
209,1,4,8,2,3,0,9
210,1,4,8,3,1,9,7
211,1,4,8,3,2,2,4
212,1,4,8,8,7,0,6
213,1,4,9,0,8,1,3
214,1,4,9,4,5,2,6
215,1,4,9,5,7,5,2
216,1,4,9,7,3,0,7
217,1,5,0,2,0,3,4
218,1,5,0,2,1,6,0
219,1,5,0,2,9,5,3
220,1,5,0,4,3,3,9
221,1,5,0,4,6,3,9
222,1,5,0,6,3,1,3
223,1,5,0,8,9,0,6
224,1,5,1,0,9,6,3
225,1,5,1,1,2,0,7
226,1,5,1,2,3,3,0
227,1,5,1,2,4,4,6
228,1,5,1,2,7,8,3
229,1,5,1,7,4,5,1
230,1,5,1,8,8,4,6
231,1,5,2,0,4,9,9
232,1,5,2,0,9,6,6
233,1,5,2,5,6,9,6
234,1,5,2,7,4,2,5
235,1,5,2,8,4,9,8
236,1,5,3,2,0,4,3
237,1,5,3,9,4,5,7
238,1,5,3,9,9,5,2
239,1,5,4,4,4,9,7
240,1,5,4,5,2,7,2
241,1,5,4,6,7,3,5
242,1,5,4,9,9,8,9
243,1,5,5,0,7,1,0
244,1,5,5,0,8,7,3
245,1,5,5,1,2,4,4
246,1,5,5,2,5,5,4
247,1,5,5,3,0,2,6
248,1,5,5,5,1,3,6
249,1,5,5,8,5,1,3
250,1,5,5,9,3,6,1
251,1,5,6,3,8,6,6
252,1,5,6,6,0,7,9
253,1,5,6,6,4,6,7
254,1,5,6,7,7,1,6
255,1,5,6,8,0,6,2
256,1,5,7,2,0,3,8
257,1,5,7,4,3,5,0
258,1,5,7,6,3,0,5
259,1,5,7,9,4,1,9
260,1,5,8,0,3,7,4
261,1,5,8,2,4,2,8
262,1,5,8,2,8,8,6
263,1,5,8,4,7,2,4
264,1,5,8,5,9,3,2
265,1,5,8,8,3,4,0
266,1,5,9,0,7,2,5
267,1,5,9,1,2,1,7
268,1,6,0,0,5,9,7
269,1,6,0,0,9,1,8
270,1,6,0,3,5,4,3
271,1,6,0,3,7,2,2
272,1,6,0,7,1,8,4
273,1,6,0,9,0,8,4
274,1,6,0,9,7,6,6
275,1,6,1,0,9,4,9
276,1,6,1,3,6,5,5
277,1,6,1,4,0,9,3
278,1,6,1,8,0,2,9
279,1,6,2,5,8,8,6
280,1,6,2,6,1,3,8
281,1,6,2,6,8,9,6
282,1,6,2,7,6,2,8
283,1,6,2,7,9,2,0
284,1,6,2,8,1,3,1
285,1,6,2,8,5,2,1
286,1,6,2,9,5,5,2
287,1,6,3,1,8,4,5
288,1,6,3,9,0,3,3
289,1,6,4,1,6,0,4
290,1,6,4,3,7,1,8
291,1,6,4,8,3,9,1
292,1,6,5,1,1,8,0
293,1,6,5,7,5,5,5
294,1,6,5,7,6,9,9
295,1,6,6,1,6,5,9
296,1,6,6,3,5,4,5
297,1,6,6,5,0,5,5
298,1,6,7,3,6,1,3
299,1,6,7,7,5,9,8
300,1,6,8,6,2,3,1
301,1,6,9,6,1,6,7
302,1,6,9,6,6,8,3
303,1,6,9,6,9,7,7
304,1,7,0,2,7,6,6
305,1,7,0,2,9,7,1
306,1,7,0,4,8,5,2
307,1,7,0,5,2,6,4
308,1,7,0,7,6,4,3
309,1,7,1,0,7,7,8
310,1,7,1,1,1,7,0
311,1,7,1,3,2,3,9
312,1,7,1,9,8,4,1
313,1,7,2,2,1,6,1
314,1,7,2,5,2,7,9
315,1,7,2,6,9,7,6
316,1,7,2,7,2,9,1
317,1,7,3,4,0,2,6
318,1,7,3,4,1,8,0
319,1,7,4,1,0,7,7
320,1,7,4,3,8,5,5
321,1,7,4,4,4,9,2
322,1,7,4,5,8,5,5
323,1,7,5,2,6,1,5
324,1,7,5,4,3,2,6
325,1,7,5,4,5,3,2
326,1,7,5,7,0,1,4
327,1,7,5,7,0,9,5
328,1,7,5,7,4,5,5
329,1,7,5,9,0,7,0
330,1,7,5,9,3,9,4
331,1,7,6,2,9,9,1
332,1,7,6,4,7,3,6
333,1,7,6,6,0,3,3
334,1,7,6,7,3,1,9
335,1,7,6,8,3,8,2
336,1,7,7,0,0,0,2
337,1,7,7,1,2,4,5
338,1,7,7,1,6,3,9
339,1,7,7,6,3,9,5
340,1,7,7,7,1,1,2
341,1,7,8,3,2,1,1
342,1,7,8,3,3,3,9
343,1,7,9,0,0,4,7
344,1,7,9,1,6,4,9
345,1,7,9,4,6,3,0
346,1,7,9,7,7,1,2
347,1,8,0,2,9,6,3
348,1,8,0,5,3,6,8
349,1,8,0,5,5,9,2
350,1,8,0,6,6,1,8
351,1,8,0,9,0,6,4
352,1,8,1,0,2,3,1
353,1,8,1,4,5,8,9
354,1,8,1,5,0,3,7
355,1,8,1,5,2,6,9
356,1,8,2,1,7,1,2
357,1,8,2,3,9,0,2
358,1,8,2,3,9,5,5
359,1,8,2,5,7,8,5
360,1,8,2,6,2,1,9
361,1,8,3,2,1,3,0
362,1,8,3,2,3,0,7
363,1,8,3,2,7,5,8
364,1,8,3,2,7,6,6
365,1,8,3,4,6,6,1
366,1,8,3,5,3,7,1
367,1,8,3,9,6,0,2
368,1,8,4,1,6,4,8
369,1,8,4,1,6,9,2
370,1,8,4,3,1,8,8
371,1,8,5,1,0,0,8
372,1,8,5,5,8,2,6
373,1,8,6,7,9,8,5
374,1,8,7,0,3,0,4
375,1,8,7,7,1,5,7
376,1,8,7,8,2,9,0
377,1,8,7,9,5,9,0
378,1,8,8,0,1,9,6
379,1,8,8,0,5,4,9
380,1,8,8,0,9,0,3
381,1,8,8,1,4,1,5
382,1,8,8,1,4,5,0
383,1,8,8,1,9,9,1
384,1,8,8,4,2,5,3
385,1,8,8,5,9,1,7
386,1,8,9,2,9,0,2
387,1,8,9,4,1,4,4
388,1,8,9,8,0,8,3
389,1,8,9,8,8,2,2
390,1,9,0,6,6,6,1
391,1,9,0,9,1,4,2
392,1,9,1,5,7,4,2
393,1,9,1,6,4,3,8
394,1,9,1,7,9,2,0
395,1,9,2,1,5,5,8
396,1,9,2,2,5,1,6
397,1,9,2,6,3,0,2
398,1,9,2,7,8,0,5
399,1,9,3,0,2,7,1
400,1,9,3,2,6,4,0
401,1,9,3,5,8,7,7
402,1,9,3,5,8,9,0
403,1,9,3,6,6,8,0
404,1,9,3,7,5,8,4
405,1,9,4,9,4,3,0
406,1,9,5,1,2,5,3
407,1,9,5,1,6,2,9
408,1,9,5,1,8,1,3
409,1,9,5,2,0,0,1
410,1,9,5,3,0,0,8
411,1,9,5,6,1,0,7
412,1,9,5,8,3,7,7
413,1,9,5,9,4,2,1
414,1,9,6,3,3,1,8
415,1,9,6,3,8,7,7
416,1,9,6,3,9,0,9
417,1,9,6,5,8,8,4
418,1,9,6,7,3,8,2
419,1,9,6,8,3,2,4
420,1,9,6,8,5,8,5
421,1,9,7,2,5,9,1
422,1,9,7,6,4,2,6
423,1,9,7,7,9,6,7
424,1,9,8,1,0,9,0
425,1,9,8,1,1,9,2
426,1,9,8,1,3,8,0
427,1,9,8,1,8,5,6
428,1,9,8,3,4,3,9
429,1,9,8,4,1,9,9
430,1,9,8,6,0,3,2
431,1,9,8,6,8,4,0
432,1,9,8,7,2,7,3
433,1,9,9,0,2,6,1
434,1,9,9,4,6,6,4
435,1,9,9,5,4,8,0
436,1,9,9,8,7,9,9
437,2,0,0,1,7,3,7
438,2,0,0,4,3,9,7
439,2,0,1,0,8,0,6
440,2,0,1,2,4,8,6
441,2,0,1,5,3,1,9
442,2,0,2,0,7,4,8
443,2,0,2,5,7,2,1
444,2,0,2,6,1,1,6
445,2,0,3,1,4,0,5
446,2,0,3,3,3,9,3
447,2,0,3,8,3,5,4
448,2,0,4,0,0,1,2
449,2,0,4,1,7,0,0
450,2,0,4,3,4,5,4
451,2,0,4,5,3,4,9
452,2,0,4,5,6,5,0
453,2,0,4,9,6,3,8
454,2,0,5,4,1,9,9
455,2,0,5,4,4,9,6
456,2,0,5,5,9,9,0
457,2,0,6,1,2,6,9
458,2,0,6,3,4,4,0
459,2,0,6,5,4,0,1
460,2,0,6,6,2,1,1
461,2,0,6,8,1,6,1
462,2,0,6,8,3,1,8
463,2,0,6,8,8,5,3
464,2,0,7,1,1,1,6
465,2,0,7,1,7,0,8
466,2,0,7,5,4,2,2
467,2,0,7,8,6,2,5
468,2,0,8,1,1,0,0
469,2,0,8,2,2,5,7
470,2,0,8,2,6,0,5
471,2,0,8,8,9,3,5
472,2,0,9,1,9,9,9
473,2,0,9,3,1,0,7
474,2,0,9,4,7,1,1
475,2,0,9,8,6,8,1
476,2,0,9,9,0,4,0
477,2,0,9,9,4,0,2
478,2,1,0,2,5,8,2
479,2,1,0,3,6,6,3
480,2,1,0,3,8,6,3
481,2,1,1,5,3,1,6
482,2,1,1,7,6,1,1
483,2,1,2,1,4,4,5
484,2,1,2,3,9,8,0
485,2,1,3,1,3,4,9
486,2,1,3,1,3,8,8
487,2,1,3,5,0,4,9
488,2,1,3,9,0,9,1
489,2,1,4,2,9,0,7
490,2,1,4,3,4,0,9
491,2,1,4,3,5,3,4
492,2,1,4,4,2,3,3
493,2,1,4,6,7,0,3
494,2,1,4,7,1,4,9
495,2,1,5,1,5,2,4
496,2,1,5,3,1,4,0
497,2,1,5,5,4,7,6
498,2,1,5,6,1,8,9
499,2,1,6,0,5,6,0
500,2,1,6,1,7,2,8
501,2,1,6,2,0,1,2
502,2,1,6,7,2,5,9
503,2,1,6,7,7,0,5
504,2,1,6,9,8,9,3
505,2,1,6,9,9,8,7
506,2,1,7,3,4,2,3
507,2,1,7,5,0,9,0
508,2,1,7,8,4,0,1
509,2,1,7,9,0,1,3
510,2,1,8,5,6,2,2
511,2,1,8,7,5,9,4
512,2,1,9,9,6,2,3
513,2,2,0,0,3,4,8
514,2,2,0,4,7,6,6
515,2,2,0,7,0,0,3
516,2,2,0,9,8,0,1
517,2,2,1,0,1,8,8
518,2,2,1,0,7,4,2
519,2,2,1,1,4,1,9
520,2,2,1,6,3,1,9
521,2,2,2,0,5,4,0
522,2,2,2,3,8,9,3
523,2,2,3,0,6,0,0
524,2,2,3,7,2,3,4
525,2,2,4,2,5,2,7
526,2,2,4,2,8,1,6
527,2,2,4,3,5,8,4
528,2,2,4,4,0,2,9
529,2,2,4,6,3,5,5
530,2,2,4,6,9,9,6
531,2,2,4,7,5,6,8
532,2,2,4,8,9,2,5
533,2,2,5,2,4,6,2
534,2,2,5,4,3,5,9
535,2,2,5,5,1,9,3
536,2,2,6,3,1,0,4
537,2,2,6,3,2,6,3
538,2,2,6,6,4,8,1
539,2,2,6,6,4,9,0
540,2,2,6,9,2,9,9
541,2,2,7,0,9,8,5
542,2,2,7,9,1,1,3
543,2,2,8,4,7,4,1
544,2,2,8,9,9,7,6
545,2,2,9,3,6,5,2
546,2,2,9,6,9,3,1
547,2,2,9,8,0,5,0
548,2,2,9,8,3,2,3
549,2,3,0,0,0,5,8
550,2,3,0,0,3,2,8
551,2,3,0,0,9,6,9
552,2,3,0,4,9,7,8
553,2,3,0,7,5,9,9
554,2,3,1,0,2,0,9
555,2,3,1,9,7,8,8
556,2,3,2,6,7,0,4
557,2,3,2,8,2,1,6
558,2,3,2,8,6,4,7
559,2,3,3,1,7,7,0
560,2,3,3,2,6,8,8
561,2,3,3,3,0,7,8
562,2,3,3,7,8,6,3
563,2,3,3,8,3,9,3
564,2,3,3,8,4,5,2
565,2,3,3,8,5,9,1
566,2,3,4,0,6,4,8
567,2,3,4,3,7,3,7
568,2,3,4,3,9,0,2
569,2,3,4,6,1,6,8
570,2,3,4,9,3,1,0
571,2,3,4,9,7,3,5
572,2,3,5,1,4,5,2
573,2,3,5,2,2,3,6
574,2,3,5,3,5,2,9
575,2,3,5,4,7,6,8
576,2,3,5,5,6,3,0
577,2,3,5,6,4,4,6
578,2,3,5,9,2,8,7
579,2,3,6,1,0,3,3
580,2,3,6,3,8,4,9
581,2,3,6,4,0,5,6
582,2,3,6,7,3,3,8
583,2,3,6,7,7,6,9
584,2,3,6,8,2,2,7
585,2,3,7,0,7,7,4
586,2,3,7,0,8,5,8
587,2,3,7,1,7,0,0
588,2,3,7,3,3,7,0
589,2,3,7,4,0,0,2
590,2,3,7,7,0,0,6
591,2,3,7,8,8,3,6
592,2,3,8,1,3,9,3
593,2,3,8,6,3,9,2
594,2,3,8,7,2,8,1
595,2,3,8,7,8,5,1
596,2,3,9,2,7,9,5
597,2,3,9,3,3,5,6
598,2,3,9,3,9,9,6
599,2,3,9,5,2,2,9
600,2,3,9,6,1,0,7
601,2,4,0,4,4,3,2
602,2,4,0,5,0,0,7
603,2,4,1,2,1,2,1
604,2,4,1,6,8,5,9
605,2,4,1,9,2,4,7
606,2,4,2,1,4,4,3
607,2,4,2,2,8,5,3
608,2,4,2,3,1,8,0
609,2,4,4,1,4,4,4
610,2,4,4,3,3,6,0
611,2,4,5,0,9,6,2
612,2,4,5,1,8,3,9
613,2,4,5,5,6,6,5
614,2,4,6,1,6,2,1
615,2,4,6,7,8,5,6
616,2,4,6,8,1,6,9
617,2,4,6,9,2,8,2
618,2,4,7,1,0,1,5
619,2,4,7,1,2,7,9
620,2,4,7,8,0,8,1
621,2,4,8,0,7,8,7
622,2,4,8,1,4,7,9
623,2,4,8,4,3,4,6
624,2,4,8,7,7,6,7
625,2,4,9,0,8,5,6
626,2,4,9,5,3,8,5
627,2,4,9,6,9,6,2
628,2,4,9,9,1,2,7
629,2,5,0,0,2,8,8
630,2,5,0,3,8,7,1
631,2,5,0,6,5,0,9
632,2,5,0,7,2,1,9
633,2,5,1,4,5,1,4
634,2,5,2,6,2,0,5
635,2,5,2,9,3,9,9
636,2,5,3,2,5,4,1
637,2,5,3,7,4,5,4
638,2,5,3,9,7,0,7
639,2,5,4,2,2,3,7
640,2,5,4,3,2,9,5
641,2,5,4,4,1,2,7
642,2,5,4,7,9,4,6
643,2,5,4,8,1,6,1
644,2,5,5,3,0,6,7
645,2,5,5,6,3,0,0
646,2,5,6,0,2,0,0
647,2,5,6,3,4,7,5
648,2,5,6,4,2,4,9
649,2,5,6,4,8,8,7
650,2,5,7,7,3,7,4
651,2,5,8,1,6,6,8
652,2,5,8,3,8,9,7
653,2,5,8,5,2,3,6
654,2,5,8,8,1,9,2
655,2,5,8,8,2,1,2
656,2,5,8,8,4,1,6
657,2,5,8,9,5,3,7
658,2,5,9,8,5,2,5
659,2,6,0,1,3,5,1
660,2,6,0,2,9,0,9
661,2,6,0,7,7,6,2
662,2,6,1,5,9,8,3
663,2,6,2,9,4,3,0
664,2,6,2,9,8,3,6
665,2,6,3,1,5,0,2
666,2,6,3,3,1,6,0
667,2,6,3,8,3,4,2
668,2,6,4,0,0,5,7
669,2,6,4,3,2,0,5
670,2,6,4,4,3,2,5
671,2,6,4,7,4,3,5
672,2,6,4,9,4,8,6
673,2,6,4,9,7,4,4
674,2,6,5,1,3,8,9
675,2,6,5,1,4,3,8
676,2,6,5,2,8,9,2
677,2,6,6,2,6,1,3
678,2,6,6,3,3,6,7
679,2,6,6,6,1,8,6
680,2,6,6,7,3,5,1
681,2,6,6,9,1,1,2
682,2,6,7,0,9,8,8
683,2,6,7,2,1,3,4
684,2,6,7,3,5,4,0
685,2,6,8,3,9,6,6
686,2,6,8,7,7,7,8
687,2,6,9,7,8,2,3
688,2,7,0,3,7,9,1
689,2,7,0,4,7,4,3
690,2,7,0,5,8,2,8
691,2,7,0,8,2,8,8
692,2,7,1,6,3,1,7
693,2,7,1,7,0,6,8
694,2,7,1,7,4,5,1
695,2,7,1,8,3,1,1
696,2,7,2,0,3,5,8
697,2,7,2,4,3,8,3
698,2,7,2,4,6,0,4
699,2,7,2,7,6,2,7
700,2,7,3,0,5,2,1
701,2,7,3,4,5,0,8
702,2,7,3,7,4,9,8
703,2,7,3,8,2,7,9
704,2,7,3,9,8,5,6
705,2,7,4,0,2,5,5
706,2,7,4,0,2,7,3
707,2,7,4,0,3,8,6
708,2,7,4,1,1,4,5
709,2,7,4,3,2,2,0
710,2,7,4,4,9,4,5
711,2,7,4,5,8,3,9
712,2,7,4,6,0,9,0
713,2,7,4,6,6,0,8
714,2,7,4,8,2,7,8
715,2,7,4,9,6,5,0
716,2,7,4,9,6,5,6
717,2,7,5,7,1,6,8
718,2,7,5,8,4,6,9
719,2,7,5,9,4,3,9
720,2,7,6,0,2,6,9
721,2,7,6,1,3,2,0
722,2,7,6,1,8,5,3
723,2,7,6,4,3,5,1
724,2,7,6,4,5,0,1
725,2,7,6,4,5,2,0
726,2,7,6,6,1,1,5
727,2,7,6,7,7,1,7
728,2,7,7,2,1,2,8
729,2,7,7,4,9,2,4
730,2,7,8,0,0,9,9
731,2,7,8,3,2,4,4
732,2,7,8,5,4,9,7
733,2,7,8,5,5,8,6
734,2,7,8,5,6,1,4
735,2,7,9,1,4,4,0
736,2,7,9,1,6,7,7
737,2,7,9,4,6,4,2
738,2,7,9,7,9,2,0
739,2,7,9,8,1,1,7
740,2,7,9,9,5,3,0
741,2,8,0,0,2,3,5
742,2,8,0,2,2,5,9
743,2,8,0,9,2,6,0
744,2,8,1,2,3,8,4
745,2,8,1,6,8,4,8
746,2,8,1,8,4,6,5
747,2,8,1,8,6,8,0
748,2,8,1,8,9,5,1
749,2,8,1,9,4,7,2
750,2,8,1,9,7,6,0
751,2,8,2,2,3,1,7
752,2,8,2,4,1,6,0
753,2,8,2,9,7,0,5
754,2,8,3,3,9,9,5
755,2,8,3,6,7,3,2
756,2,8,3,7,0,2,2
757,2,8,3,7,0,3,1
758,2,8,3,7,5,9,9
759,2,8,4,6,7,7,0
760,2,8,5,0,4,0,4
761,2,8,5,3,1,5,3
762,2,8,5,3,2,3,0
763,2,8,5,7,5,2,2
764,2,8,5,9,4,4,0
765,2,8,6,1,8,8,8
766,2,8,7,2,0,1,3
767,2,8,7,8,3,8,1
768,2,8,7,9,7,4,4
769,2,8,7,9,7,9,1
770,2,8,8,1,6,5,0
771,2,8,8,4,4,5,8
772,2,8,8,5,0,5,9
773,2,8,8,5,8,4,1
774,2,8,8,8,3,1,7
775,2,8,9,7,7,2,1
776,2,9,0,2,9,7,9
777,2,9,0,4,7,7,9
778,2,9,1,5,4,5,1
779,2,9,1,6,1,5,6
780,2,9,1,6,3,9,3
781,2,9,1,6,4,2,6
782,2,9,2,0,3,1,8
783,2,9,2,0,3,8,5
784,2,9,2,2,4,8,7
785,2,9,2,5,5,8,2
786,2,9,2,7,6,8,1
787,2,9,2,9,0,0,0
788,2,9,3,2,5,4,1
789,2,9,3,4,9,4,4
790,2,9,3,5,6,6,4
791,2,9,3,5,9,9,4
792,2,9,3,9,5,0,4
793,2,9,4,0,8,0,2
794,2,9,4,1,1,6,0
795,2,9,5,0,3,8,4
796,2,9,5,1,3,0,7
797,2,9,5,3,5,0,2
798,2,9,5,9,3,5,8
799,2,9,6,2,3,2,0
800,2,9,7,0,7,8,3
801,2,9,7,5,4,9,2
802,2,9,7,9,4,0,2
803,2,9,8,1,4,7,3
804,2,9,8,3,9,4,1
805,2,9,8,4,0,0,3
806,2,9,8,5,0,8,2
807,2,9,8,6,2,9,2
808,2,9,8,7,5,2,3
809,2,9,8,8,4,6,9
810,2,9,8,9,0,9,1
811,2,9,8,9,5,6,6
812,2,9,8,9,8,8,3
813,2,9,9,3,1,9,0
814,2,9,9,5,3,2,4
815,3,0,0,4,0,3,0
816,3,0,0,4,3,3,1
817,3,0,0,5,2,0,0
818,3,0,0,6,3,5,5
819,3,0,1,5,9,8,6
820,3,0,1,8,2,1,0
821,3,0,2,1,1,6,8
822,3,0,2,1,8,1,2
823,3,0,2,3,3,6,6
824,3,0,2,3,5,8,4
825,3,0,2,7,3,7,1
826,3,0,2,7,9,8,8
827,3,0,3,5,1,1,0
828,3,0,3,8,0,0,9
829,3,0,3,9,2,0,7
830,3,0,4,0,5,0,8
831,3,0,4,1,8,0,9
832,3,0,4,3,5,1,0
833,3,0,4,5,5,3,9
834,3,0,4,8,3,7,2
835,3,0,5,1,9,4,9
836,3,0,5,3,5,3,8
837,3,0,5,7,6,0,4
838,3,0,5,9,1,4,9
839,3,0,6,0,9,6,6
840,3,0,6,1,8,2,0
841,3,0,6,8,6,2,5
842,3,0,6,9,6,3,4
843,3,0,7,4,6,3,7
844,3,0,7,8,4,1,6
845,3,0,7,8,7,5,3
846,3,0,7,9,2,6,6
847,3,0,7,9,7,3,8
848,3,0,7,9,7,4,1
849,3,0,8,2,3,1,7
850,3,0,8,2,8,1,2
851,3,0,8,3,2,4,5
852,3,0,8,4,6,3,2
853,3,0,8,4,9,3,5
854,3,0,8,7,4,6,0
855,3,0,8,9,6,9,5
856,3,0,9,3,9,4,6
857,3,0,9,5,8,2,9
858,3,0,9,7,6,8,4
859,3,0,9,7,8,6,3
860,3,0,9,8,1,4,0
861,3,1,0,3,0,7,2
862,3,1,0,3,1,7,4
863,3,1,0,8,3,5,7
864,3,1,0,9,2,9,6
865,3,1,1,5,5,6,8
866,3,1,1,9,3,9,8
867,3,1,2,3,6,8,6
868,3,1,2,4,8,6,8
869,3,1,2,5,3,8,7
870,3,1,2,8,3,3,8
871,3,1,3,1,2,2,3
872,3,1,3,2,2,3,1
