Round,Group,No1,No2,No3,No4,No5,No6,BNo1,BNo2,BNo3,BNo4,BNo5,BNo6
61,3,5,7,5,8,6,2,6,0,2,6,1,0
62,4,0,1,4,0,7,3,5,7,2,8,7,9
63,4,3,3,5,2,2,6,7,9,1,1,8,1
64,5,6,7,6,0,0,3,8,5,5,5,2,4
65,4,7,3,2,3,7,5,0,2,0,3,2,1
66,4,9,9,0,8,3,4,3,6,4,9,1,4
67,3,8,0,7,5,3,1,1,3,7,5,6,0
68,5,1,9,1,0,7,5,2,1,8,7,7,6
69,4,7,7,5,5,3,0,0,3,3,3,8,5
70,1,2,4,8,6,7,2,9,4,6,3,7,7
71,1,1,5,9,4,8,6,8,8,1,9,3,8
72,2,1,1,4,6,8,7,0,4,7,9,1,3
73,1,5,0,1,0,2,6,2,2,2,2,4,7
74,2,2,5,6,7,8,9,8,3,2,6,5,9
75,3,6,5,8,3,4,0,7,6,6,1,0,3
76,1,8,9,0,9,6,6,9,4,9,3,2,5
77,5,4,3,6,3,0,5,2,9,4,6,9,3
78,2,5,1,5,8,8,4,9,1,7,9,9,8
79,5,4,0,8,3,7,9,0,6,7,0,8,4
80,1,6,4,1,3,5,8,9,8,3,2,7,4
81,1,9,7,1,5,1,1,6,0,0,1,3,9
82,4,9,3,5,0,5,3,7,6,8,1,0,2
83,3,1,3,6,1,2,8,8,0,6,7,9,4
84,4,5,8,0,1,4,8,7,7,5,9,8,6
85,5,3,3,8,4,0,7,1,6,7,7,5,0
86,5,9,5,0,3,2,0,0,9,4,5,0,4
87,4,7,4,0,9,4,2,5,1,1,9,5,5
88,2,3,2,9,6,9,5,5,6,5,1,1,0
89,4,5,8,5,4,4,9,1,0,6,0,5,0
90,5,2,3,5,8,5,8,4,0,8,0,3,2
91,3,5,8,6,0,5,4,5,5,4,7,1,0
92,4,4,8,7,3,8,1,8,7,8,0,6,8
93,4,1,8,0,2,4,9,8,3,1,8,9,4
94,1,8,0,7,1,2,1,4,8,1,2,1,6
95,5,8,4,1,3,3,1,9,9,7,3,0,9
96,2,3,3,0,4,8,1,1,0,1,2,4,8
97,1,7,8,3,6,8,8,3,9,7,7,1,2
98,4,7,0,7,4,3,7,9,8,1,6,1,7
99,3,2,0,2,9,9,7,6,6,0,2,7,6
100,4,4,1,9,3,9,9,4,8,4,1,3,6
101,4,0,6,8,5,6,1,6,5,6,2,6,7
102,3,0,3,0,5,6,9,8,4,4,6,4,3
103,4,7,8,6,2,7,6,7,6,3,4,4,3
104,2,6,8,9,9,2,2,7,3,9,5,4,5
105,1,1,8,0,5,0,6,0,5,1,6,3,0
106,5,3,0,7,6,9,5,9,7,9,9,6,6
107,3,1,9,2,7,5,0,8,9,6,6,5,9
108,3,6,0,5,1,9,5,7,1,4,7,5,8
109,3,1,6,4,1,1,5,6,7,3,8,7,6
110,5,5,4,2,9,8,0,3,6,4,7,1,4
111,1,3,9,3,5,8,8,5,4,3,8,2,5
112,3,8,0,2,0,0,7,2,7,9,1,4,2
113,3,2,4,8,8,5,5,4,5,8,6,9,3
114,2,6,9,9,2,8,6,0,0,2,9,0,5
115,2,7,4,9,0,6,3,7,3,8,6,8,7
116,2,6,4,1,7,7,0,2,1,5,0,5,1
117,4,2,6,9,1,1,7,3,4,9,9,0,0
118,1,9,2,9,9,7,7,3,7,8,1,1,2
119,4,0,8,8,2,5,7,4,8,4,2,6,6
120,2,2,1,8,5,5,6,2,6,5,4,2,7
121,5,4,4,4,5,2,0,9,3,9,5,0,4
122,1,0,1,6,8,4,1,0,9,7,5,3,0
123,3,9,3,8,4,2,3,8,9,4,9,5,3
124,5,3,1,1,2,4,4,4,3,4,4,6,2
125,5,8,4,5,3,9,0,0,1,0,8,1,2
126,5,5,5,9,8,3,0,6,1,0,8,4,6
127,3,9,0,5,6,5,8,6,0,0,7,2,6
128,3,9,2,3,8,6,4,6,7,6,3,5,3
129,1,6,1,9,0,0,3,1,6,0,8,4,5
130,3,7,3,7,7,4,7,9,8,2,0,0,3
131,5,8,5,2,2,6,5,0,5,4,6,0,0
132,1,3,3,8,8,2,2,9,8,0,3,1,2
133,1,1,0,7,5,2,3,4,6,4,6,9,3
134,1,0,4,7,0,2,2,9,0,4,3,9,4
135,2,4,0,0,8,7,6,4,8,0,1,9,0
136,5,5,8,7,4,1,1,4,3,0,8,2,7
137,1,8,7,3,7,8,4,6,0,9,7,9,5
138,1,3,9,3,0,6,6,2,6,9,2,5,4
139,1,2,0,1,6,8,8,0,5,6,9,6,0
140,4,4,6,9,1,8,5,8,3,2,9,4,0
141,4,8,9,5,3,5,2,6,8,6,2,2,1
142,2,8,5,2,9,6,0,7,6,7,6,6,2
143,5,4,5,9,9,7,9,9,3,3,8,8,8
144,5,8,4,9,6,8,1,0,0,7,5,4,4
145,2,2,2,1,1,1,1,1,0,3,7,1,4
146,1,6,4,3,5,7,0,3,5,7,6,5,1
147,4,8,3,8,3,8,0,7,0,8,6,7,3
148,1,8,2,6,9,3,0,3,1,2,7,1,7
149,5,3,7,8,2,9,6,0,4,2,5,2,1
150,3,3,6,5,3,4,3,5,1,2,1,3,4
151,4,2,5,6,5,0,2,8,8,4,6,8,8
152,3,9,0,5,5,3,1,7,8,7,8,3,6
153,1,9,7,7,0,3,8,4,5,5,3,9,9
154,3,8,2,6,3,9,3,7,1,0,2,1,2
155,4,7,3,9,5,8,6,5,1,2,3,7,6
156,1,0,7,1,7,1,2,7,7,1,3,9,0
157,5,2,4,3,4,3,0,8,1,6,5,8,0
158,2,3,5,7,8,5,6,1,7,7,5,5,5
159,3,8,4,6,5,8,1,9,5,7,5,7,4
160,5,4,4,0,2,8,6,8,5,6,5,6,1
161,3,0,5,5,8,3,8,0,4,9,1,4,0
162,2,8,0,2,4,9,3,2,1,6,3,6,3
163,1,7,1,1,0,6,7,1,0,2,8,6,5
164,1,9,7,2,3,4,9,9,9,1,5,1,5
165,1,7,1,8,2,7,3,9,1,0,0,4,1
166,4,3,4,2,1,0,3,3,8,2,9,5,6
167,3,4,7,5,0,1,6,2,9,7,6,1,5
168,2,9,7,0,7,3,1,5,4,1,2,3,7
169,3,9,2,4,7,4,8,5,8,8,0,5,0
170,2,9,6,5,1,7,8,0,3,7,2,6,2
171,2,8,4,4,5,7,8,7,3,5,2,8,4
172,1,0,9,2,1,3,8,6,6,8,1,8,3
173,3,8,0,3,7,5,7,6,8,9,9,7,0
174,2,8,7,6,0,2,1,3,0,3,1,3,4
175,5,7,6,5,7,4,0,8,8,5,8,2,4
176,3,8,5,8,9,5,2,3,7,6,1,7,0
177,3,1,0,5,9,4,8,2,6,9,3,1,3
178,3,0,0,4,6,8,7,2,1,2,7,0,1
179,2,9,4,7,1,7,6,4,2,9,1,8,9
180,3,8,3,6,8,3,8,3,4,9,5,0,4
181,3,5,5,0,1,0,4,1,1,5,4,7,4
182,1,9,9,3,7,5,0,7,7,2,4,2,7
183,4,3,2,1,4,2,3,3,0,6,6,3,3
184,3,6,4,6,3,6,2,4,4,3,3,1,7
185,4,5,7,7,4,1,8,6,2,8,2,6,6
186,5,6,1,6,8,1,4,2,1,2,2,5,0
187,5,2,0,0,4,7,3,8,0,9,7,9,7
188,5,5,0,2,5,2,2,9,5,7,4,6,0
189,4,4,6,6,5,5,7,2,1,2,3,7,2
190,2,8,5,0,3,6,5,7,3,0,4,6,2
191,4,2,9,6,4,3,0,8,8,3,6,5,4
192,2,0,3,4,2,1,0,7,1,8,7,1,5
193,2,4,9,1,9,0,5,4,5,4,1,8,5
194,5,4,6,1,1,0,2,8,4,0,4,2,3
195,4,5,3,1,3,0,7,1,1,8,6,9,3
196,4,1,1,3,3,9,3,3,4,9,0,7,8
197,4,9,6,6,6,1,6,2,0,0,8,6,1
198,2,4,3,7,8,0,3,6,2,0,1,2,5
199,4,1,0,3,6,3,3,1,7,5,7,0,9
200,5,1,4,6,3,6,2,2,6,0,0,5,4
201,1,4,7,2,6,7,5,5,5,1,7,4,5
202,2,4,1,9,0,9,3,1,9,3,7,7,8
203,3,4,5,3,0,6,4,1,7,8,8,2,4
204,5,7,5,6,3,9,7,7,3,8,0,7,2
205,1,4,7,2,3,7,7,9,3,5,4,7,1
206,3,4,8,9,0,7,5,5,8,7,6,9,5
207,3,2,1,1,9,8,8,3,9,6,5,4,0
208,1,8,7,9,8,2,9,0,3,9,6,3,6
209,4,9,9,8,7,5,0,1,3,5,1,8,8
210,3,0,4,0,6,6,2,9,4,1,4,1,9
211,1,9,6,0,5,5,4,3,2,7,7,9,3
212,2,1,1,1,9,1,5,4,8,1,2,4,0
213,1,1,5,6,0,4,9,1,6,4,9,4,7
214,1,7,1,8,7,6,6,0,8,7,5,4,7
215,1,8,4,9,5,7,2,3,5,4,1,2,9
216,5,3,2,6,1,1,7,2,4,8,8,4,1
217,5,8,1,7,5,0,9,0,6,0,7,1,7
218,5,2,6,3,3,3,8,8,8,5,9,2,4
219,5,4,2,5,4,8,3,4,0,0,1,5,5
220,4,4,4,4,7,3,9,1,7,1,4,8,1
221,5,1,3,1,3,4,7,0,6,4,2,0,0
222,5,0,5,8,6,2,7,6,5,1,3,1,1
223,5,2,7,9,8,9,5,3,9,4,4,5,3
224,4,9,3,8,7,6,3,7,6,0,1,4,5
225,3,2,4,5,9,1,4,2,5,6,3,4,7
226,1,5,0,2,2,7,5,9,4,0,1,1,9
227,5,0,6,8,5,1,6,9,8,9,8,9,0
228,4,1,2,7,3,1,7,9,0,6,4,1,5
229,1,4,4,1,5,1,0,2,3,1,8,1,8
230,2,8,1,7,2,0,9,1,2,7,7,0,1
231,3,6,6,0,6,2,1,4,7,6,2,2,0
232,1,8,6,8,4,7,6,1,1,7,3,4,2
233,4,3,7,8,8,6,8,3,3,6,8,9,9
234,4,6,5,8,3,7,3,2,4,0,6,6,2
235,4,8,1,7,1,4,8,3,4,9,4,5,8
236,4,4,4,4,4,3,1,8,7,4,2,5,8
237,5,7,9,3,9,6,9,0,4,5,8,8,6
238,5,9,8,8,9,4,2,2,9,1,0,7,0
239,4,2,7,7,3,2,6,1,6,0,7,6,4
240,4,4,4,6,6,4,8,7,6,1,5,5,5
241,2,1,0,6,7,1,6,9,8,7,8,6,8
242,1,3,2,3,1,6,4,4,3,6,9,6,6
243,2,0,8,4,9,8,2,8,2,4,6,4,9
244,5,0,3,3,3,3,7,2,2,3,5,9,4
245,1,1,7,9,2,7,3,0,7,0,3,7,3
246,3,1,7,6,0,6,9,5,6,2,7,6,0
247,2,4,9,0,5,9,0,5,2,3,3,7,4
248,2,0,2,4,9,9,2,8,8,8,9,2,8
249,1,0,9,0,7,8,5,2,9,5,8,4,6
250,3,4,3,7,9,5,0,4,9,2,5,9,1
251,4,3,4,6,1,9,6,3,0,5,1,9,0
252,4,0,0,2,2,2,8,6,1,5,8,4,7
253,4,4,8,4,0,1,0,9,2,1,0,6,9
254,5,0,4,5,0,8,3,8,2,9,3,1,6
255,4,9,4,1,2,7,1,8,9,1,5,6,9
256,5,5,8,4,7,6,6,8,1,2,7,0,0
257,3,5,6,6,2,3,9,1,8,8,1,8,9
258,1,2,6,5,2,5,6,5,8,1,2,6,7
259,3,7,0,7,2,8,8,2,1,5,1,0,9
260,1,2,3,5,1,0,8,5,9,5,2,8,8
261,1,8,4,4,0,6,1,9,1,5,5,7,4
262,3,5,6,4,5,8,3,0,7,4,3,5,6
263,5,1,6,2,2,6,5,2,1,3,3,7,7
264,2,0,6,3,0,5,3,2,5,0,1,4,3
265,5,8,0,2,3,2,0,0,3,6,3,7,9
266,4,0,1,5,1,9,2,5,4,9,4,1,7
267,2,8,3,2,9,6,3,0,1,4,6,4,5
268,2,7,3,6,3,5,8,4,4,4,3,1,9
269,3,4,4,3,5,4,5,5,5,5,0,9,0
270,4,5,9,3,1,4,2,7,2,1,7,5,0
271,3,8,8,7,1,5,5,4,3,8,4,1,4
272,2,1,7,8,4,0,8,1,7,7,6,3,6
273,1,4,1,5,2,2,3,8,5,0,0,9,8
274,5,5,7,4,6,2,7,3,4,4,7,3,4
275,1,0,3,8,8,7,5,8,4,9,8,7,2
276,5,1,6,8,2,3,8,9,9,1,5,1,3
277,4,5,1,5,6,8,0,5,5,2,5,7,8
278,2,6,3,4,6,7,6,0,7,1,0,2,3
279,1,7,2,8,8,2,2,3,4,0,0,8,8
280,1,9,0,4,1,8,1,4,1,1,2,0,4
281,2,9,3,2,8,6,7,4,6,1,5,5,3
282,3,0,3,4,8,4,4,4,9,5,1,2,5
283,3,6,5,3,5,0,3,8,7,6,8,3,1
284,2,2,8,9,0,2,7,9,3,4,6,7,8
285,1,5,3,9,7,4,2,8,7,2,1,7,4
286,2,8,2,4,7,5,6,7,8,3,9,6,2
287,5,6,1,4,7,4,9,4,3,5,1,6,0
288,5,1,1,2,7,0,3,5,9,8,1,4,3
289,3,5,8,5,9,3,5,8,5,3,6,4,7
290,5,2,0,0,1,1,5,6,9,4,7,4,8
291,4,1,4,9,3,0,9,0,3,6,1,7,9
292,4,9,7,1,6,3,0,1,4,0,6,9,3
293,3,6,5,0,3,2,1,5,1,0,2,3,8
294,1,7,4,6,1,8,6,1,7,1,0,2,3
295,3,7,5,1,2,7,2,2,9,0,3,3,4
296,1,6,6,7,9,7,5,9,8,8,4,3,1
297,5,4,4,4,1,6,3,2,4,8,8,2,5
298,3,9,6,0,2,1,1,4,9,2,8,4,5
299,2,2,8,2,9,4,5,9,0,2,2,5,2
300,1,4,5,5,4,9,0,4,2,8,5,5,4
301,4,7,4,8,5,5,9,8,1,2,0,2,9
302,4,6,3,9,9,2,7,0,5,5,4,9,5
303,4,6,3,9,5,6,6,6,1,9,1,3,6
304,5,2,3,4,9,3,1,4,3,8,9,8,5
305,2,3,3,1,3,1,6,5,0,9,9,8,8
306,4,5,4,5,3,8,0,3,9,4,4,0,2
307,1,9,8,7,6,4,5,8,5,9,1,2,7
308,5,9,2,0,3,8,8,7,5,2,7,4,4
309,4,8,6,7,5,4,9,6,5,3,8,4,3
310,3,0,5,6,2,0,4,3,3,1,1,1,9
311,4,3,8,2,2,6,8,1,1,7,0,7,9
312,2,8,6,1,9,4,9,9,7,4,0,3,6
313,5,7,2,6,4,9,3,8,8,2,0,3,3
314,2,0,6,0,7,2,7,2,9,3,1,6,0
315,2,5,3,7,5,3,0,3,5,8,1,2,7
316,3,3,3,1,8,1,8,4,4,9,2,9,8
317,3,8,2,7,9,1,7,7,1,9,9,1,7
318,5,4,0,1,3,8,4,9,8,1,4,6,2
319,3,2,0,1,3,2,7,6,3,2,0,3,5
320,5,7,6,6,4,8,7,8,9,7,7,6,0
321,5,6,8,6,7,0,9,3,2,6,5,9,9
322,2,1,1,9,3,9,2,6,9,6,9,6,7
323,4,6,0,4,2,7,0,9,4,5,8,9,3
324,2,4,8,5,2,1,6,0,6,1,9,1,8
325,3,0,1,1,3,9,1,4,3,8,9,0,6
326,2,5,0,2,7,3,3,3,9,9,6,1,6
