No,No1,No2,No3,No4,No5,No6
84,2,6,18,22,28,43
85,1,4,23,37,42,45
86,4,13,16,19,20,38
87,1,4,35,42,44,45
88,10,14,32,34,37,44
89,7,13,16,31,40,42
90,14,15,16,23,30,32
91,17,21,33,37,44,45
92,1,9,23,25,28,44
93,7,14,30,38,41,44
94,2,5,12,18,40,43
95,7,14,16,33,40,41
96,3,22,28,32,39,40
97,4,12,19,25,35,43
98,7,10,15,19,22,28
99,2,5,12,21,24,34
100,25,30,31,40,42,45
101,1,9,21,31,38,41
102,14,20,23,30,33,44
103,2,6,25,35,39,42
104,1,7,10,15,19,38
105,13,16,27,34,41,45
106,6,7,15,18,21,25
107,5,6,13,26,27,31
108,1,7,8,9,15,30
109,9,23,25,34,38,41
110,12,26,27,31,37,39
111,9,10,20,24,32,43
112,7,8,10,21,24,25
113,2,3,22,24,25,42
114,4,10,21,31,37,43
115,5,8,19,25,35,36
116,3,12,16,19,20,32
117,3,7,10,13,18,38
118,1,6,12,14,22,34
119,1,8,14,17,21,38
120,3,5,33,34,38,43
121,6,9,13,15,35,39
122,8,10,20,30,39,42
123,1,6,7,12,19,40
124,15,17,23,24,36,39
125,9,14,17,22,25,41
126,1,8,9,17,27,38
127,8,13,14,16,26,35
128,26,28,31,37,42,43
129,3,4,7,12,16,40
130,11,26,36,39,40,44
131,7,22,27,29,43,44
132,2,22,23,27,35,45
133,7,14,15,30,39,41
134,5,6,8,9,19,31
135,8,25,28,36,41,43
136,1,14,25,27,28,44
137,9,18,21,24,32,44
138,6,12,20,32,40,43
139,3,6,21,23,41,44
140,1,4,8,11,24,25
141,14,18,34,35,39,43
142,12,21,24,26,32,43
143,9,10,15,33,42,44
144,3,7,25,28,36,43
145,1,3,11,14,21,23
146,1,22,28,34,41,42
147,16,33,35,36,40,44
148,1,2,16,25,40,44
149,14,29,33,34,37,43
150,1,6,8,24,41,45
151,4,11,16,17,20,40
152,16,17,21,24,29,43
153,7,16,26,32,33,40
154,10,11,15,18,22,24
155,18,20,28,29,38,42
156,5,24,32,35,42,43
157,4,7,8,35,38,39
158,10,18,23,26,35,40
159,2,7,12,25,34,40
160,6,29,31,36,40,45
161,2,4,11,18,40,42
162,2,7,10,27,29,41
163,5,10,13,28,34,38
164,1,15,20,35,40,45
165,8,10,18,36,38,39
166,8,12,15,22,25,32
167,2,13,16,20,29,31
168,1,8,21,23,40,41
169,7,12,15,27,30,40
170,7,8,9,25,31,38
171,2,15,20,30,37,45
172,7,13,24,32,33,36
173,7,11,30,31,33,42
174,4,10,33,38,39,42
175,2,4,20,30,35,44
176,3,8,24,29,37,40
177,6,11,18,33,35,38
178,4,9,21,26,28,37
179,2,15,20,29,31,32
180,9,12,14,25,35,41
181,1,5,12,18,32,45
182,8,10,23,24,35,40
183,6,14,17,18,27,31
184,9,10,12,15,20,38
185,4,6,10,27,30,41
186,1,2,15,22,43,44
187,15,21,27,32,36,40
188,1,5,26,28,33,37
189,12,13,22,24,38,43
190,6,14,16,18,37,45
191,1,2,5,16,32,45
192,8,17,19,27,28,37
193,2,18,21,26,37,39
194,20,24,27,28,37,43
195,8,15,29,31,34,40
196,1,9,13,17,29,32
197,10,15,26,27,31,38
198,22,27,28,35,36,40
199,5,25,27,34,35,44
200,4,10,17,36,37,40
201,5,16,17,22,29,32
202,4,11,14,25,33,41
203,4,5,18,21,23,41
204,4,19,23,26,29,37
205,4,8,10,20,35,42
206,12,14,17,18,29,45
207,15,24,31,32,35,41
208,3,4,11,20,36,37
209,7,11,18,35,38,39
210,7,14,15,16,19,40
211,2,13,14,16,21,40
212,2,10,16,22,25,30
213,11,12,15,24,26,39
214,2,19,20,26,28,38
215,7,18,22,33,34,42
216,12,19,32,33,40,45
217,5,18,25,30,34,41
218,5,6,8,9,36,37
219,3,21,22,23,28,32
220,4,7,16,18,26,31
221,1,19,23,35,36,45
222,4,7,11,27,34,45
223,3,9,21,37,42,45
224,16,21,34,40,41,45
225,4,15,16,22,34,37
226,1,3,11,12,19,32
227,11,15,23,26,33,42
228,4,6,24,30,35,44
229,4,18,19,24,25,45
230,7,10,11,19,24,33
231,7,11,19,30,37,42
232,1,4,7,41,43,45
233,6,8,9,14,17,19
234,6,24,31,34,43,45
235,2,11,13,22,28,32
236,9,14,15,17,30,45
237,8,15,16,26,35,45
238,4,18,22,23,33,44
239,3,8,11,28,31,38
240,11,30,31,38,39,43
241,3,10,29,30,35,36
242,4,13,15,24,27,40
243,8,13,17,22,38,41
244,1,15,16,18,35,41
245,2,17,25,26,35,40
246,1,2,16,32,37,40
247,1,12,25,31,33,42
248,10,19,31,37,39,45
249,7,10,13,29,35,40
250,1,11,12,13,37,39
251,2,9,16,36,40,45
252,1,3,23,25,36,37
253,2,7,13,20,26,36
254,12,19,20,21,28,41
255,1,20,21,31,36,45
256,3,12,17,25,31,39
257,17,22,24,26,34,35
258,1,11,14,22,31,43
259,3,18,23,27,34,35
260,2,4,16,20,40,45
261,9,15,25,28,32,44
262,3,13,18,25,28,35
263,3,4,7,9,15,39
264,2,5,22,27,36,42
265,1,10,14,28,30,36
266,6,19,33,35,37,43
267,3,12,13,20,40,43
268,7,14,15,32,34,42
269,15,20,29,34,38,41
270,4,10,22,25,26,30
271,8,12,14,32,43,45
272,1,3,8,10,30,35
273,1,19,26,34,37,39
274,15,26,27,30,39,45
275,19,22,23,29,41,42
276,1,3,13,25,28,36
277,1,7,19,27,32,35
278,5,9,11,40,43,45
279,10,15,27,32,38,45
280,3,16,22,23,28,36
281,1,5,13,35,42,43
282,6,11,13,16,23,29
283,10,23,27,37,39,44
284,13,17,20,23,31,44
285,7,11,13,19,31,34
286,4,18,33,39,40,42
287,9,15,16,18,21,37
288,1,2,12,18,20,33
289,6,7,17,19,22,35
290,8,19,31,38,41,45
291,3,5,7,28,29,45
292,2,10,18,20,31,40
293,1,6,7,16,39,45
294,8,9,16,21,32,41
295,7,14,20,21,24,34
296,9,16,29,37,40,44
297,10,15,16,29,33,39
298,17,19,24,39,40,44
299,2,4,21,32,34,45
300,4,7,8,13,14,29
301,4,11,14,33,40,43
302,2,14,15,36,40,42
303,4,7,9,25,37,42
304,8,14,28,33,37,45
305,21,24,25,32,33,42
306,4,5,26,27,32,44
307,2,9,13,26,28,31
308,7,11,13,24,31,38
309,2,9,12,20,21,39
310,17,20,25,26,28,31
311,4,6,10,18,28,31
312,4,17,20,21,37,40
313,1,10,41,42,43,45
314,7,14,21,28,30,37
315,8,18,19,31,36,38
316,1,9,12,21,39,43
317,9,11,20,31,32,34
318,7,18,19,29,36,45
319,7,9,28,35,38,42
320,5,20,22,24,34,37
321,8,21,34,38,39,42
322,10,18,19,28,33,44
323,7,13,18,20,34,45
324,8,11,20,23,34,38
325,6,9,18,29,31,45
326,9,11,20,22,37,40
327,4,5,14,31,40,41
328,6,8,12,23,28,39
329,3,16,17,29,30,31
330,3,4,7,17,23,28
331,2,10,15,17,24,31
332,7,11,31,37,42,45
333,6,10,15,18,30,36
334,3,9,10,13,20,40
335,4,19,22,27,30,40
336,1,5,24,31,33,42
337,9,13,21,28,35,43
338,2,7,9,11,18,31
339,3,12,15,16,23,44
340,2,12,13,17,23,36
341,3,10,28,30,43,45
342,7,9,14,26,31,39
343,16,17,20,26,32,41
344,2,5,9,10,21,25
345,10,18,26,28,36,45
346,5,19,23,29,34,42
347,7,8,18,26,32,44
348,14,16,24,38,41,45
349,3,6,12,38,41,44
350,12,20,24,30,31,45
351,30,31,32,36,39,43
352,4,6,19,20,26,38
353,20,26,27,30,37,39
354,2,4,20,23,24,42
355,3,8,9,24,31,37
356,15,20,22,25,27,38
357,9,10,13,26,28,44
358,3,6,13,20,29,39
359,6,18,19,23,31,45
360,9,15,24,26,27,31
361,2,7,9,18,21,26
362,4,6,10,19,21,36
363,5,28,30,34,35,37
364,5,7,12,19,38,43
365,5,11,21,22,23,43
366,4,7,18,19,23,28
367,12,13,19,22,26,36
368,6,10,14,35,41,42
369,12,15,21,32,38,41
370,9,23,26,32,36,41
371,1,2,4,6,17,29
372,11,15,19,30,36,45
373,3,13,16,19,22,42
374,3,12,13,15,17,38
375,5,15,16,31,40,44
376,2,18,20,21,31,35
377,10,13,21,25,29,43
378,7,13,17,30,32,36
379,14,16,22,39,43,44
380,1,6,19,26,29,39
381,4,14,19,39,43,45
382,16,21,22,26,27,43
383,14,17,25,38,44,45
384,2,16,29,38,41,44
385,2,15,25,34,39,41
386,12,17,23,24,29,43
387,2,8,26,37,39,45
388,8,25,27,38,39,40
389,3,4,7,12,24,39
390,1,11,25,35,36,43
391,7,22,34,35,37,40
392,13,18,21,23,29,35
393,7,11,15,22,25,38
394,4,14,21,23,25,33
395,6,18,33,38,42,43
396,8,19,21,33,41,43
397,3,18,33,35,42,45
398,3,7,9,23,31,42
399,5,16,29,32,34,44
400,3,11,14,19,33,41
401,2,3,10,31,42,43
402,1,20,22,37,38,43
403,7,15,22,29,40,45
404,4,15,19,23,26,31
405,14,17,19,22,29,43
406,6,9,19,21,25,36
407,4,9,26,33,34,41
408,10,13,14,33,35,37
409,3,14,18,23,34,41
410,2,14,18,24,27,43
411,1,11,17,20,23,27
412,5,24,34,39,41,45
413,9,13,23,35,42,43
414,1,18,25,28,35,42
415,10,25,26,30,35,36
416,16,24,27,28,38,41
417,8,16,19,20,35,36
418,6,8,9,25,29,42
419,12,14,23,25,33,36
420,1,3,18,32,35,37
421,10,14,17,32,33,36
422,11,19,31,36,38,44
423,9,19,21,28,29,37
424,9,12,15,29,38,43
425,10,15,30,34,38,40
426,3,5,9,29,37,44
427,10,16,19,25,33,42
428,3,4,12,17,21,36
429,3,11,13,21,32,37
430,3,18,23,36,41,42
431,1,13,24,30,33,39
432,2,6,12,19,27,34
433,18,29,30,32,36,45
434,5,17,23,29,31,32
435,6,14,20,21,43,44
436,2,11,17,21,35,45
437,1,7,10,12,26,38
438,14,27,29,33,36,43
439,13,18,20,21,34,44
440,2,9,14,17,21,36
441,2,9,25,32,33,34
442,2,4,10,27,38,39
443,1,19,21,24,25,36
444,5,23,27,28,31,45
445,1,11,12,24,35,45
446,5,13,16,30,37,43
447,3,4,8,25,32,37
448,5,6,33,39,41,43
449,4,7,10,23,37,39
450,5,19,21,27,28,37
451,4,9,36,39,40,44
452,6,8,10,29,41,45
453,6,15,16,29,32,43
454,6,8,10,23,32,34
455,3,4,12,19,32,36
456,2,5,14,32,36,44
457,2,4,7,26,39,41
458,14,17,31,35,42,44
459,1,5,6,11,19,37
460,13,21,22,27,29,31
461,7,8,12,33,38,44
462,4,13,19,34,42,44
463,1,6,8,12,31,41
464,12,13,15,18,20,26
465,4,10,18,22,35,40
466,13,30,32,33,39,42
467,3,5,8,28,31,37
468,8,9,31,32,36,43
469,6,11,28,31,42,45
470,3,5,7,9,24,44
471,1,12,13,20,29,41
472,10,11,15,17,35,44
473,20,28,29,30,41,44
474,12,13,14,26,36,37
475,7,10,14,33,39,43
476,11,13,14,20,24,27
477,7,17,21,29,30,39
478,22,25,26,33,43,45
479,1,8,9,10,13,37
480,5,8,9,18,19,38
481,26,31,35,41,43,44
482,4,10,15,21,24,45
483,17,22,24,33,38,40
484,13,14,23,25,28,44
485,5,18,19,33,34,36
486,2,5,8,21,37,39
487,9,16,17,18,20,39
488,2,8,14,17,43,45
489,4,12,13,20,27,36
490,13,14,16,19,29,31
491,5,10,30,34,42,44
492,6,8,12,31,32,35
493,13,18,19,28,36,37
494,6,11,31,32,33,40
495,3,15,19,20,21,28
496,3,6,21,28,31,38
497,3,8,14,27,30,31
498,5,11,13,18,35,40
499,17,21,23,34,37,38
500,12,14,24,32,35,43
501,10,18,21,29,34,41
502,11,12,15,18,24,44
503,22,23,26,27,29,34
504,3,13,24,25,27,37
505,13,22,28,31,33,39
506,7,11,13,20,31,43
507,2,8,14,19,32,34
508,1,4,5,6,34,36
509,5,16,35,37,39,41
510,2,19,26,35,36,40
511,8,21,22,35,39,40
512,5,7,20,23,27,42
513,4,6,29,30,32,42
514,2,16,20,25,31,32
515,2,13,17,18,38,44
516,7,9,10,24,29,45
517,12,15,16,17,29,41
518,1,2,20,21,25,42
519,15,22,25,32,39,43
520,14,21,26,29,35,38
521,11,24,26,32,33,41
522,3,12,25,29,31,38
523,9,17,20,25,28,34
524,10,11,15,21,25,31
525,22,23,26,27,37,40
526,1,4,12,15,29,41
527,1,3,8,12,30,38
528,9,12,13,16,42,45
529,1,13,25,27,37,42
530,4,7,11,25,29,43
531,14,20,32,42,43,45
532,16,18,23,30,35,37
533,2,5,33,35,38,40
534,3,25,30,34,37,42
535,11,15,19,26,31,35
536,5,13,23,26,30,34
537,20,25,27,28,31,36
538,19,21,23,26,32,42
539,12,14,32,33,35,42
540,5,13,14,18,25,43
541,4,16,21,22,30,33
542,3,7,11,24,39,41
543,22,26,29,34,35,38
544,10,11,13,23,40,43
545,4,6,19,25,28,42
546,5,8,15,16,35,45
547,2,13,24,26,31,41
548,1,15,17,18,20,31
549,1,5,8,10,18,29
550,9,11,17,23,30,45
551,1,7,14,23,29,44
552,4,9,11,14,29,34
553,4,7,22,27,37,44
554,5,19,38,42,43,45
555,6,14,15,25,37,40
556,6,10,12,13,18,35
557,3,9,14,16,23,39
558,1,12,20,22,27,42
559,7,9,13,25,38,44
560,5,13,19,27,40,42
561,4,10,13,28,31,36
562,4,15,22,25,32,37
563,5,6,31,32,37,43
564,3,14,15,25,37,41
565,7,15,28,40,42,44
566,8,11,16,18,26,36
567,6,12,20,26,39,43
568,7,9,19,22,38,43
569,3,6,9,22,26,41
570,2,5,17,22,40,42
571,2,8,10,33,34,38
572,3,5,7,9,14,24
573,3,19,20,25,34,37
574,1,14,16,18,26,38
575,7,16,20,34,35,38
576,2,4,12,20,33,45
577,7,32,33,36,44,45
578,9,18,19,25,32,38
579,21,23,24,29,31,34
580,8,16,21,27,39,43
581,5,29,36,40,42,44
582,2,21,25,29,37,40
583,5,10,19,26,37,41
584,7,10,15,27,32,36
585,14,17,30,35,42,43
586,2,3,5,14,33,34
587,7,8,12,32,39,43
588,5,8,11,13,29,30
589,3,14,20,31,32,37
590,2,6,24,37,38,44
591,13,15,23,34,39,41
592,8,15,17,23,36,43
593,12,15,29,32,43,45
594,9,10,15,26,40,43
595,25,28,29,37,41,43
596,5,7,11,15,18,33
597,3,6,29,30,40,44
598,5,8,14,15,34,39
599,1,10,23,24,30,42
600,1,20,24,28,30,34
601,1,4,12,20,34,42
602,15,19,33,37,43,44
603,8,31,33,37,43,44
604,8,27,30,32,35,42
605,1,16,38,39,42,44
606,8,11,25,28,35,45
607,14,15,19,38,40,43
608,3,9,19,20,41,44
609,1,14,15,35,36,44
610,1,3,7,20,24,40
611,4,5,6,32,35,40
612,2,12,14,15,40,42
613,7,17,34,39,42,43
614,12,15,19,24,29,36
615,1,2,10,13,26,37
616,1,4,10,11,26,43
617,3,24,26,32,38,44
618,4,8,12,14,23,40
619,5,21,29,36,38,39
620,1,6,9,17,30,44
621,2,5,37,38,39,42
622,4,11,21,30,31,40
623,2,5,13,16,18,32
624,2,3,4,18,28,32
625,2,11,14,35,36,45
626,2,6,11,14,32,40
627,4,6,10,17,26,32
628,6,18,28,33,34,40
629,10,12,24,30,39,45
630,10,13,17,27,34,39
631,17,19,32,35,37,40
632,6,21,22,34,36,42
633,4,18,21,31,33,38
634,4,5,13,23,25,44
635,10,27,32,36,39,41
636,14,18,20,21,22,30
637,3,4,12,17,20,38
638,2,17,25,29,35,45
639,13,17,19,24,25,38
640,4,7,9,27,29,36
641,1,5,8,29,30,40
642,13,25,29,36,38,43
643,3,19,20,23,31,44
644,2,16,26,27,32,37
645,9,23,24,31,44,45
646,4,8,11,32,38,42
647,3,8,20,27,39,43
648,2,5,18,20,22,40
649,15,17,20,23,28,39
650,18,28,30,33,39,42
651,7,8,22,27,28,37
652,3,15,22,26,37,40
653,9,20,27,32,33,35
654,6,18,29,32,39,44
655,9,11,15,20,32,42
656,3,13,18,19,21,24
657,7,9,34,36,43,45
658,11,16,23,35,36,38
659,6,7,16,31,43,45
660,2,19,20,21,28,41
661,9,22,29,34,41,44
662,1,6,12,26,27,41
663,3,5,8,9,11,30
664,9,11,26,34,38,45
665,14,17,26,29,39,45
666,13,16,22,26,31,38
667,11,13,16,20,24,44
668,2,7,9,10,25,27
669,19,21,25,37,43,44
670,3,4,5,21,33,43
671,2,10,12,20,23,35
672,7,10,18,29,38,39
673,11,12,19,20,35,45
674,10,14,21,25,35,45
675,9,19,23,26,32,44
676,3,6,14,17,29,33
677,10,12,16,21,39,42
678,17,23,24,33,34,38
679,3,9,12,15,16,18
680,3,7,12,18,35,36
681,1,3,20,26,36,40
682,1,12,19,20,40,42
683,1,3,6,8,16,30
684,8,29,35,38,39,43
685,6,9,16,33,37,43
686,5,8,15,22,32,45
687,2,3,4,15,18,21
688,7,8,19,21,32,33
689,7,9,21,22,28,40
690,10,17,25,34,38,40
691,9,12,18,19,24,31
692,8,21,24,27,28,34
693,13,18,30,36,37,40
694,1,10,11,17,28,32
695,11,18,19,25,26,29
696,1,4,13,14,34,42
697,6,13,23,28,43,45
698,4,6,12,14,20,33
699,9,28,31,32,38,45
700,11,16,17,19,22,26
701,10,14,20,27,28,45
702,9,10,15,21,22,24
703,2,4,26,29,37,42
704,1,13,18,36,38,40
705,15,18,28,29,37,43
706,11,16,17,19,24,41
707,2,14,15,26,30,40
708,1,2,5,13,15,37
709,14,15,16,26,33,44
710,22,26,30,33,37,40
711,3,12,17,27,34,35
712,2,5,6,16,29,42
713,13,29,36,39,41,44
714,12,14,20,32,39,42
715,1,12,21,27,35,44
716,3,4,15,19,33,41
717,7,16,17,24,31,37
718,7,13,30,36,37,43
719,5,16,22,26,31,44
720,26,28,33,37,39,42
721,3,5,17,24,33,43
722,9,25,29,32,37,44
723,7,9,10,24,25,45
724,6,9,22,31,40,43
725,9,13,20,23,32,37
726,6,13,24,25,27,45
727,8,14,29,42,44,45
728,3,13,21,25,40,41
729,5,8,10,25,40,44
730,9,20,22,27,32,35
731,3,6,11,14,21,22
732,7,21,22,34,35,45
733,19,23,24,33,39,43
734,2,30,31,37,41,44
735,10,13,19,22,25,40
736,20,25,37,38,42,45
737,5,10,13,14,18,36
738,3,5,15,30,42,45
739,5,16,23,34,40,41
740,3,4,14,19,26,34
741,4,8,11,16,18,34
742,4,14,16,23,32,38
743,4,7,15,23,36,42
744,5,6,9,18,23,36
745,2,12,19,21,28,41
746,5,13,18,21,28,40
747,9,13,19,38,39,44
748,1,9,22,24,36,38
749,6,12,20,26,32,43
750,1,14,23,29,40,45
751,7,9,12,17,25,29
752,1,8,13,24,41,45
753,3,7,34,35,39,43
754,2,16,25,30,31,42
755,7,26,31,33,42,45
756,3,14,21,23,31,32
757,9,13,16,32,33,34
758,12,13,23,29,38,42
759,2,15,17,25,26,37
760,4,12,13,14,20,42
761,1,2,17,23,33,43
762,7,8,27,33,37,38
763,32,33,34,37,38,39
764,14,19,20,24,25,30
765,1,11,31,37,40,42
766,10,14,17,19,20,45
767,8,10,11,26,28,30
768,1,15,21,37,38,43
769,4,5,12,13,17,24
770,2,10,20,21,24,27
771,13,23,28,30,32,45
772,7,10,14,16,38,39
773,15,30,32,36,39,42
774,12,15,16,22,24,34
775,6,7,12,14,36,40
776,1,3,18,21,34,35
777,1,16,30,36,40,42
778,14,23,25,29,30,45
779,9,19,20,25,30,45
780,2,7,17,27,43,44
781,1,7,12,17,28,31
782,15,27,30,36,37,44
783,11,12,14,25,35,36
784,11,12,20,21,24,30
785,5,6,14,17,19,29
786,1,7,11,20,32,35
787,7,13,26,28,35,38
788,4,5,13,21,33,34
789,23,24,39,42,43,45
790,5,10,30,33,39,43
791,12,16,19,22,33,39
792,9,10,15,20,27,41
793,8,12,13,27,32,33
794,5,6,16,36,40,43
795,1,4,32,33,41,43
796,15,17,27,30,31,33
797,4,7,16,20,21,37
798,3,7,22,24,27,45
799,5,12,24,31,34,36
800,3,17,33,34,37,39
801,18,23,25,34,37,39
802,1,10,20,24,26,35
803,16,17,20,24,35,39
804,1,2,3,23,28,44
805,7,11,17,30,33,36
806,1,2,20,23,37,42
807,9,16,22,24,25,44
808,6,15,16,30,38,45
809,9,12,17,20,22,34
810,6,11,24,32,36,43
811,20,21,27,28,35,36
812,1,10,17,25,26,31
813,15,18,24,36,42,44
814,13,16,26,34,39,42
815,4,6,8,15,25,33
816,4,9,15,21,23,45
817,14,16,31,36,42,43
818,3,14,32,34,38,39
819,1,11,16,28,33,44
820,3,5,26,27,39,40
821,1,7,17,21,22,31
822,1,4,6,17,23,35
823,12,33,35,39,41,43
824,1,23,24,25,38,39
825,7,14,19,20,27,44
826,16,17,25,28,32,38
827,12,17,29,34,42,43
828,3,4,7,14,39,42
829,5,10,15,27,35,40
830,4,5,9,22,31,34
831,11,17,21,23,34,37
832,4,13,15,23,25,44
833,6,18,24,32,42,45
834,4,29,31,36,40,41
835,21,23,32,33,36,44
836,5,11,14,20,41,44
837,5,8,12,18,22,23
838,2,8,11,27,31,33
839,3,4,16,28,31,32
840,7,19,22,25,32,37
841,6,13,18,19,22,24
842,8,13,29,36,38,39
843,1,4,5,27,31,35
844,1,12,15,16,29,36
845,1,9,21,31,39,42
846,2,4,10,28,42,45
847,2,7,11,13,22,42
848,11,19,27,30,32,37
849,1,9,14,26,33,45
850,8,13,19,27,36,37
851,10,13,17,18,29,39
852,2,15,22,23,27,35
853,8,15,16,23,28,31
854,3,11,19,22,23,28
855,2,17,20,23,34,44
856,20,22,24,37,44,45
857,10,13,25,32,37,43
858,4,12,23,26,41,45
859,3,5,6,12,22,29
860,20,21,27,28,29,33
861,2,5,6,12,25,43
862,1,9,24,33,43,45
863,4,10,14,17,25,34
864,4,6,9,11,13,23
865,2,10,15,19,27,39
866,3,5,12,21,28,44
867,25,26,35,39,41,43
868,6,13,19,20,34,38
869,8,11,25,35,39,43
870,11,15,21,27,32,45
871,4,14,25,33,38,43
872,6,13,21,32,40,45
873,20,26,31,35,37,38
874,10,24,27,31,33,44
875,8,14,18,19,33,43
876,10,30,31,35,37,40
877,9,16,17,29,39,43
878,2,18,26,28,39,45
879,3,7,20,38,39,41
880,6,9,13,34,38,42
881,3,18,19,21,26,42
882,11,14,22,26,35,44
883,9,10,23,28,34,45
884,5,8,10,25,26,38
885,1,27,32,36,40,42
886,21,23,31,34,42,45
887,15,16,25,29,38,41
888,3,9,17,20,25,36
889,8,12,18,23,27,38
890,2,4,12,37,39,40
891,1,11,15,28,39,43
892,9,12,14,21,27,41
893,5,7,8,12,17,25
894,9,17,20,23,27,40
895,2,21,31,33,35,39
896,12,25,26,33,36,37
897,19,27,31,36,37,40
898,1,3,22,24,32,36
899,5,10,18,22,30,42
900,9,18,19,29,32,36
901,1,5,10,25,38,44
902,1,5,6,34,35,43
903,4,9,16,23,27,33
904,8,10,15,28,30,32
905,4,14,26,29,37,41
906,8,9,17,28,38,41
907,12,17,18,24,32,41
908,5,12,18,20,30,39
909,5,14,21,30,32,37
910,3,7,11,17,24,38
911,8,9,15,31,38,39
912,19,29,32,33,37,38
913,3,11,17,26,30,39
914,9,11,13,25,29,44
915,20,24,29,38,44,45
916,1,5,10,15,32,36
917,2,3,9,34,36,45
918,14,15,18,32,35,42
919,2,3,11,27,30,43
920,12,14,15,17,25,37
921,1,4,14,17,31,33
922,3,7,19,26,37,42
923,11,12,21,23,27,45
924,1,4,30,34,38,42
925,6,7,10,12,20,27
926,5,17,19,30,32,41
927,20,29,33,39,42,45
928,5,23,24,31,36,39
929,1,16,18,32,35,36
930,1,6,7,10,27,43
931,9,12,22,26,36,41
932,17,18,23,32,34,41
933,6,7,15,27,28,35
934,17,19,23,35,40,41
935,17,19,20,29,36,45
936,8,15,22,31,33,43
937,3,8,18,23,24,25
938,4,13,15,22,29,30
939,10,13,21,33,42,43
940,1,2,9,11,13,20
941,14,20,29,35,40,44
942,11,12,26,27,28,42
943,10,30,37,40,41,42
944,8,11,16,30,34,45
945,3,15,20,25,33,37
946,7,22,26,28,31,32
947,1,19,32,33,34,40
948,1,8,13,14,21,24
949,2,6,7,17,22,26
950,11,19,20,23,35,45
951,6,15,19,24,32,45
952,7,9,24,31,40,45
953,6,31,36,38,40,41
954,1,5,7,23,24,42
955,16,18,19,31,33,40
956,14,24,31,32,36,39
957,4,11,12,23,42,45
958,3,10,15,18,20,34
959,1,4,12,22,32,44
960,1,4,6,8,21,31
961,9,16,21,30,33,42
962,2,5,7,16,17,18
963,3,8,24,36,39,43
964,5,11,12,25,28,43
965,3,11,24,25,31,38
966,6,12,20,21,30,34
967,8,10,12,13,18,31
968,2,20,24,29,33,45
969,5,13,24,28,29,31
970,2,4,6,14,15,19
971,1,4,14,16,32,35
972,4,7,8,19,25,40
973,2,3,6,11,30,35
974,8,9,16,28,43,44
975,8,13,16,24,39,45
976,12,14,16,17,32,33
977,6,12,16,27,40,42
978,1,9,23,24,29,38
979,10,11,17,29,37,40
980,1,2,4,12,13,36
981,12,18,28,29,34,35
982,5,9,18,27,29,30
983,1,7,26,27,39,40
984,6,19,22,24,29,41
985,15,16,19,40,41,42
986,10,13,15,22,34,42
987,4,22,30,31,35,38
988,3,13,19,29,34,37
989,1,8,9,29,34,36
990,3,4,9,24,31,35
991,9,15,20,24,27,35
992,1,2,18,29,30,42
993,3,8,25,27,32,33
994,3,8,13,17,19,24
995,1,21,25,36,41,42
996,1,19,34,38,43,44
997,2,4,16,21,25,42
