No,No1,No2,No3,No4,No5,No6
81,1,4,19,20,21,34
82,1,4,23,33,38,45
83,1,5,6,11,22,33
84,1,5,6,22,27,34
85,1,5,7,9,26,27
86,1,5,7,14,15,34
87,1,5,7,23,40,41
88,1,5,8,9,12,37
89,1,5,8,10,24,44
90,1,5,10,13,17,31
91,1,5,10,14,39,43
92,1,5,10,17,30,44
93,1,5,10,28,32,33
94,1,5,12,18,38,39
95,1,5,14,17,19,22
96,1,5,16,22,30,32
97,1,5,16,22,44,45
98,1,5,18,37,42,44
99,1,5,20,27,41,45
100,1,5,25,32,34,40
101,1,5,29,37,44,45
102,1,5,32,35,37,45
103,1,6,7,9,19,27
104,1,6,7,16,27,30
105,1,6,8,9,17,21
106,1,6,8,19,43,45
107,1,6,9,10,20,39
108,1,6,9,11,12,13
109,1,6,11,12,32,40
110,1,6,11,25,43,44
111,1,6,12,27,33,37
112,1,6,12,31,32,41
113,1,6,13,15,37,45
114,1,6,14,25,29,36
115,1,6,14,25,36,45
116,1,6,16,24,27,44
117,1,6,17,20,39,41
118,1,6,18,21,24,40
119,1,6,31,38,41,44
120,1,7,8,12,17,22
121,1,7,8,16,18,22
122,1,7,8,17,26,41
123,1,7,9,12,15,23
124,1,7,10,26,27,36
125,1,7,11,12,35,37
126,1,7,12,21,36,45
127,1,7,13,14,29,41
128,1,7,17,28,33,34
129,1,7,19,21,24,32
130,1,7,20,24,32,43
131,1,7,22,23,33,41
132,1,7,31,35,42,44
133,1,8,9,12,23,44
134,1,8,9,13,15,38
135,1,8,9,13,28,32
136,1,8,9,24,26,42
137,1,8,10,19,31,34
138,1,8,11,13,30,45
139,1,8,12,29,34,44
140,1,8,13,19,24,40
141,1,8,13,20,21,40
142,1,8,13,30,36,38
143,1,8,14,28,32,45
144,1,8,15,16,26,42
145,1,8,15,31,40,44
146,1,8,17,22,24,44
147,1,8,17,23,26,39
148,1,8,17,32,36,39
149,1,8,17,40,41,43
150,1,8,18,20,26,45
151,1,8,20,24,34,44
152,1,8,23,28,33,41
153,1,8,27,30,34,45
154,1,9,10,18,24,26
155,1,9,10,21,24,44
156,1,9,10,24,37,38
157,1,9,11,12,16,28
158,1,9,11,18,19,25
159,1,9,11,24,26,43
160,1,9,12,13,19,42
161,1,9,13,21,30,33
162,1,9,15,16,21,37
163,1,9,15,18,22,31
164,1,9,15,24,26,38
165,1,9,17,18,37,45
166,1,9,17,22,26,38
167,1,9,17,26,43,44
168,1,9,18,30,37,43
169,1,9,18,33,44,45
170,1,9,19,34,36,45
171,1,9,24,36,40,43
172,1,9,25,29,32,41
173,1,9,25,30,33,42
174,1,10,11,14,26,29
175,1,10,12,23,41,45
176,1,10,12,31,33,37
177,1,10,14,26,30,42
178,1,10,15,23,35,44
179,1,10,16,34,41,44
180,1,10,17,19,24,41
181,1,10,19,31,33,35
182,1,10,21,23,32,36
183,1,10,21,27,28,34
184,1,10,21,31,32,43
185,1,10,21,39,40,44
186,1,10,25,32,34,37
187,1,10,27,41,43,45
188,1,10,29,32,41,45
189,1,11,12,19,34,42
190,1,11,13,21,28,43
191,1,11,14,22,25,40
192,1,11,15,19,26,28
193,1,11,15,23,42,44
194,1,11,16,24,30,34
195,1,11,18,19,25,39
196,1,11,18,20,25,27
197,1,11,18,24,27,37
198,1,11,19,30,33,41
199,1,11,20,24,27,31
200,1,11,21,32,39,43
201,1,11,22,27,33,37
202,1,11,23,28,29,40
203,1,11,24,30,41,43
204,1,12,13,14,25,37
205,1,12,13,19,21,39
206,1,12,13,19,26,40
207,1,12,15,18,32,33
208,1,12,16,18,39,43
209,1,12,16,25,33,35
210,1,12,17,23,32,39
211,1,12,19,28,36,44
212,1,12,19,33,41,42
213,1,12,20,37,43,45
214,1,12,23,27,34,43
215,1,12,25,31,38,41
216,1,13,15,22,29,44
217,1,13,15,27,28,31
218,1,13,17,30,32,45
219,1,13,20,21,26,38
220,1,13,20,26,32,35
221,1,13,20,28,31,32
222,1,14,15,27,31,41
223,1,14,16,20,31,43
224,1,14,18,21,22,31
225,1,14,18,22,27,29
226,1,14,18,28,29,42
227,1,14,20,23,34,42
228,1,14,20,27,29,40
229,1,14,26,29,32,45
230,1,14,26,34,36,43
231,1,14,27,28,36,41
232,1,14,27,29,32,33
233,1,15,18,30,34,44
234,1,15,19,20,34,41
235,1,15,19,23,34,37
236,1,15,26,27,37,39
237,1,15,26,29,32,39
238,1,15,29,30,41,44
239,1,16,17,21,22,24
240,1,16,17,37,38,44
241,1,16,19,23,24,44
242,1,16,20,23,33,41
243,1,16,20,35,41,42
244,1,16,22,29,40,41
245,1,16,23,25,31,34
246,1,16,25,37,41,44
247,1,17,18,29,31,38
248,1,17,22,23,34,45
249,1,17,23,25,40,44
250,1,18,19,20,28,38
251,1,18,21,38,43,45
252,1,19,20,23,31,34
253,1,19,20,26,28,42
254,1,19,22,24,25,29
255,1,19,22,27,28,43
256,1,19,29,33,36,45
257,1,20,24,30,40,41
258,1,22,24,32,33,45
259,1,22,25,27,29,42
260,1,22,27,33,39,41
261,1,23,24,30,37,44
262,1,24,26,27,30,34
263,1,24,30,31,40,42
264,1,24,35,38,40,45
265,1,28,30,34,43,45
266,2,3,4,6,21,31
267,2,3,4,8,18,26
268,2,3,4,11,18,36
269,2,3,5,18,30,34
270,2,3,6,13,27,39
271,2,3,6,14,26,33
272,2,3,6,24,29,30
273,2,3,7,11,16,31
274,2,3,7,13,33,45
275,2,3,8,14,18,23
276,2,3,9,13,17,41
277,2,3,9,18,29,33
278,2,3,10,15,25,45
279,2,3,10,16,32,34
280,2,3,10,18,20,45
281,2,3,10,18,25,27
282,2,3,10,18,32,35
283,2,3,11,16,35,39
284,2,3,11,25,39,41
285,2,3,12,15,19,22
286,2,3,12,18,32,40
287,2,3,13,15,39,42
288,2,3,13,22,31,40
289,2,3,15,25,42,44
290,2,3,16,20,26,28
291,2,3,17,20,21,28
292,2,3,17,22,32,35
293,2,3,17,29,33,37
294,2,3,19,20,33,36
295,2,3,19,25,31,45
296,2,3,20,24,29,45
297,2,3,21,22,34,38
298,2,3,24,29,32,42
299,2,4,6,23,25,44
300,2,4,6,28,29,43
301,2,4,6,31,32,37
302,2,4,8,25,32,42
303,2,4,8,29,41,44
304,2,4,9,22,29,37
305,2,4,9,23,36,38
306,2,4,10,11,36,37
307,2,4,10,24,26,45
308,2,4,10,26,37,44
309,2,4,11,31,33,41
310,2,4,11,32,33,44
311,2,4,12,13,14,20
312,2,4,14,15,17,39
313,2,4,14,17,38,41
314,2,4,18,38,41,43
315,2,4,24,26,27,28
316,2,4,26,37,39,42
317,2,4,31,32,43,44
318,2,5,6,10,11,31
319,2,5,6,16,23,25
320,2,5,7,14,20,24
321,2,5,9,11,28,30
322,2,5,9,13,15,42
323,2,5,9,14,28,45
324,2,5,9,17,24,33
325,2,5,9,22,23,30
326,2,5,10,11,22,38
327,2,5,10,21,24,36
328,2,5,10,26,40,45
329,2,5,10,34,35,43
330,2,5,11,14,30,37
331,2,5,12,20,26,37
332,2,5,15,19,29,44
333,2,5,15,20,31,44
334,2,5,15,23,35,45
335,2,5,17,19,21,27
336,2,5,18,28,37,39
337,2,5,22,24,33,42
338,2,5,32,34,40,41
339,2,6,7,10,25,35
340,2,6,8,23,29,33
341,2,6,9,12,32,40
342,2,6,9,14,17,28
343,2,6,9,17,22,30
344,2,6,9,20,25,29
345,2,6,9,22,24,39
346,2,6,10,11,13,27
347,2,6,10,12,25,32
348,2,6,10,16,40,43
349,2,6,10,18,26,41
350,2,6,11,13,22,44
351,2,6,11,22,34,43
352,2,6,13,27,30,43
353,2,6,14,24,34,39
354,2,6,16,18,31,42
355,2,6,16,19,20,38
356,2,6,17,22,32,40
357,2,6,17,25,32,34
358,2,6,17,30,35,45
359,2,6,18,22,33,35
360,2,6,18,26,36,45
361,2,6,20,31,32,44
362,2,6,33,39,44,45
363,2,7,8,25,34,36
364,2,7,9,10,30,35
365,2,7,9,12,24,45
366,2,7,9,12,29,35
367,2,7,10,21,44,45
368,2,7,10,31,34,39
369,2,7,11,16,25,43
370,2,7,11,20,23,28
371,2,7,11,21,25,26
372,2,7,12,22,42,45
373,2,7,12,26,29,34
374,2,7,13,14,15,35
375,2,7,13,28,32,43
376,2,7,13,30,33,38
377,2,7,14,27,32,33
378,2,7,15,26,28,35
379,2,7,20,21,28,45
380,2,7,20,31,40,42
381,2,7,21,29,34,40
382,2,7,21,30,33,37
383,2,7,29,35,37,44
384,2,8,9,19,32,33
385,2,8,9,24,30,31
386,2,8,10,21,28,40
387,2,8,11,32,37,39
388,2,8,13,15,16,26
389,2,8,14,20,36,41
390,2,8,15,16,28,43
391,2,8,19,20,30,37
392,2,8,19,24,25,42
393,2,8,22,33,42,45
394,2,8,23,37,38,39
395,2,8,31,32,33,40
396,2,8,33,34,35,42
397,2,9,10,18,36,40
398,2,9,11,24,28,38
399,2,9,12,14,23,36
400,2,9,12,23,35,44
401,2,9,12,30,36,45
402,2,9,13,15,29,43
403,2,9,13,42,43,44
404,2,9,14,28,30,37
405,2,9,16,27,29,40
406,2,9,19,24,29,36
407,2,9,19,27,30,38
408,2,9,20,25,31,37
409,2,9,21,22,28,43
410,2,9,28,30,32,42
411,2,9,28,33,34,40
412,2,9,31,32,33,43
413,2,10,11,16,18,41
414,2,10,11,20,35,39
415,2,10,12,28,33,40
416,2,10,13,29,36,41
417,2,10,15,17,31,37
418,2,10,17,32,37,40
419,2,10,19,23,24,28
420,2,10,20,27,33,42
421,2,10,21,22,24,36
422,2,10,22,27,40,42
423,2,10,23,24,36,40
424,2,10,24,26,41,43
425,2,10,25,26,33,42
426,2,11,12,13,22,24
427,2,11,12,24,31,40
428,2,11,13,14,22,36
429,2,11,13,21,33,45
430,2,11,14,17,31,38
431,2,11,14,18,20,29
432,2,11,14,27,39,43
433,2,11,15,35,37,38
434,2,11,16,23,27,41
435,2,11,21,27,28,30
436,2,11,23,35,42,44
437,2,11,25,27,36,41
438,2,11,26,33,36,41
439,2,11,28,29,31,38
440,2,11,31,33,42,45
441,2,12,13,30,31,33
442,2,12,16,22,24,45
443,2,12,19,25,30,31
444,2,12,20,23,32,34
445,2,12,21,24,29,38
446,2,12,21,26,35,45
447,2,12,22,23,34,44
448,2,12,22,29,38,45
449,2,12,24,27,38,40
450,2,12,24,38,42,43
451,2,12,28,30,31,36
452,2,13,14,15,20,38
453,2,13,14,23,30,42
454,2,13,17,25,27,37
455,2,13,19,32,34,39
456,2,13,22,23,29,32
457,2,13,26,32,36,43
458,2,13,27,36,42,45
459,2,13,31,35,38,42
460,2,13,33,34,37,39
461,2,14,17,25,27,42
462,2,14,17,31,33,34
463,2,14,19,20,27,44
464,2,14,21,24,27,36
465,2,14,23,24,32,39
466,2,14,23,32,35,45
467,2,15,16,18,40,45
468,2,15,16,31,38,42
469,2,15,17,24,41,42
470,2,15,18,29,36,41
471,2,15,19,21,34,45
472,2,15,20,22,44,45
473,2,15,20,23,33,43
474,2,15,21,23,27,43
475,2,15,21,39,41,42
476,2,15,24,31,40,43
477,2,15,29,30,37,40
478,2,15,31,35,38,43
479,2,16,18,20,23,35
480,2,16,23,34,40,45
481,2,16,26,35,36,43
482,2,17,19,20,26,37
483,2,17,20,24,35,45
484,2,17,20,31,33,39
485,2,17,25,26,27,34
486,2,17,28,30,40,44
487,2,18,19,20,26,45
488,2,18,23,34,44,45
489,2,18,27,40,42,43
490,2,19,22,23,28,42
491,2,19,25,30,41,44
492,2,19,28,29,34,37
493,2,20,22,35,36,38
494,2,20,23,29,31,42
495,2,20,25,31,34,44
496,2,20,26,36,39,42
497,2,21,23,33,37,44
498,2,21,25,32,39,40
499,2,21,26,30,34,37
500,2,21,37,41,43,44
501,2,22,25,37,41,45
502,2,22,29,32,38,40
503,2,22,30,34,37,45
504,2,23,24,29,43,44
505,2,24,33,35,37,41
506,2,25,26,32,36,38
507,2,25,28,34,38,42
508,2,26,28,33,41,45
509,2,27,32,37,43,44
510,2,29,31,32,35,43
511,2,29,34,35,37,45
512,2,30,33,35,37,41
513,2,31,34,41,43,45
514,2,32,33,38,41,43
515,3,4,5,17,24,43
516,3,4,5,20,27,32
517,3,4,5,31,40,45
518,3,4,6,8,11,39
519,3,4,6,23,31,41
520,3,4,7,16,24,34
521,3,4,7,20,28,37
522,3,4,7,25,39,44
523,3,4,8,20,33,36
524,3,4,10,12,35,43
525,3,4,10,13,36,38
526,3,4,10,18,21,32
527,3,4,10,23,27,44
528,3,4,10,30,43,45
529,3,4,11,20,37,43
530,3,4,12,34,39,44
531,3,4,13,14,37,45
532,3,4,13,26,41,44
533,3,4,15,26,31,40
534,3,4,16,17,31,45
535,3,4,17,18,25,43
536,3,4,19,28,33,34
537,3,4,21,33,38,43
538,3,4,24,25,28,37
539,3,5,6,12,13,37
540,3,5,6,12,24,36
541,3,5,7,10,21,23
542,3,5,7,13,24,41
543,3,5,7,14,26,35
544,3,5,8,11,14,33
545,3,5,8,12,39,41
546,3,5,8,17,26,35
547,3,5,8,19,35,43
548,3,5,9,16,20,44
549,3,5,10,16,23,34
550,3,5,10,19,27,38
551,3,5,10,22,23,35
552,3,5,11,21,24,42
553,3,5,11,25,32,41
554,3,5,12,19,32,34
555,3,5,14,15,22,31
556,3,5,14,17,26,39
557,3,5,15,22,31,41
558,3,5,17,22,33,38
559,3,5,25,36,39,40
560,3,5,28,36,37,38
561,3,6,7,10,19,40
562,3,6,7,11,14,16
563,3,6,7,12,16,34
564,3,6,7,23,27,35
565,3,6,7,23,32,41
566,3,6,8,14,23,27
567,3,6,8,20,29,42
568,3,6,8,22,23,25
569,3,6,9,11,17,26
570,3,6,9,32,36,44
571,3,6,9,33,38,40
572,3,6,10,11,16,32
573,3,6,11,14,16,23
574,3,6,11,14,17,43
575,3,6,11,28,36,41
576,3,6,11,34,40,44
577,3,6,12,15,21,26
578,3,6,12,23,43,45
579,3,6,12,24,36,43
580,3,6,15,19,21,28
581,3,6,16,22,32,35
582,3,6,17,25,31,33
583,3,6,18,19,25,34
584,3,6,18,34,42,43
585,3,6,19,21,22,37
586,3,6,24,30,33,37
587,3,6,26,27,33,35
588,3,6,29,30,37,39
589,3,7,8,13,15,44
590,3,7,10,11,15,18
591,3,7,10,11,22,34
592,3,7,10,18,37,38
593,3,7,11,13,20,22
594,3,7,11,16,39,43
595,3,7,11,29,30,34
596,3,7,11,29,34,37
597,3,7,12,29,33,42
598,3,7,12,37,39,42
599,3,7,13,17,30,34
600,3,7,13,21,24,33
601,3,7,13,22,34,44
602,3,7,14,26,30,37
603,3,7,15,20,32,39
604,3,7,16,28,34,45
605,3,7,17,25,30,37
606,3,7,17,27,39,40
607,3,7,18,35,39,43
608,3,7,19,21,28,31
609,3,7,19,21,28,37
610,3,7,20,22,39,42
611,3,7,23,33,35,40
612,3,7,24,26,33,43
613,3,7,25,32,36,40
614,3,8,9,17,20,32
615,3,8,9,24,28,29
616,3,8,9,25,30,44
617,3,8,10,13,23,43
618,3,8,11,14,22,44
619,3,8,11,21,36,39
620,3,8,12,20,28,45
621,3,8,12,21,41,42
622,3,8,13,31,35,45
623,3,8,13,35,36,37
624,3,8,14,40,42,45
625,3,8,16,23,33,36
626,3,8,20,28,42,45
627,3,8,23,29,41,43
628,3,8,29,33,34,40
629,3,9,10,21,24,25
630,3,9,10,22,25,36
631,3,9,13,28,31,42
632,3,9,13,28,34,36
633,3,9,16,26,33,38
634,3,9,17,19,34,38
635,3,9,18,21,28,41
636,3,9,21,22,32,36
637,3,9,21,24,38,42
638,3,9,22,33,41,44
639,3,9,23,30,32,43
640,3,9,24,25,28,40
641,3,9,28,34,35,45
642,3,10,11,13,30,43
643,3,10,12,13,20,44
644,3,10,12,30,39,45
645,3,10,12,33,37,38
646,3,10,14,29,33,42
647,3,10,18,20,27,34
648,3,10,18,24,37,41
649,3,10,19,28,36,40
650,3,11,13,14,17,45
651,3,11,13,26,31,41
652,3,11,13,34,40,45
653,3,11,14,15,36,39
654,3,11,15,17,31,40
655,3,11,16,23,30,31
656,3,11,20,31,34,38
657,3,11,23,26,31,42
658,3,11,26,27,30,38
659,3,11,26,37,39,44
660,3,12,13,20,34,40
661,3,12,14,16,29,38
662,3,12,15,16,21,41
663,3,12,15,19,27,29
664,3,12,15,28,39,42
665,3,12,16,22,24,45
666,3,12,18,27,37,39
667,3,12,19,27,39,41
668,3,12,20,23,25,32
669,3,12,21,38,42,44
670,3,12,25,31,32,36
671,3,12,30,38,40,43
672,3,12,32,34,35,38
673,3,13,14,25,35,39
674,3,13,16,18,32,35
675,3,13,16,25,35,45
676,3,13,19,22,33,42
677,3,14,15,20,32,37
678,3,14,15,26,32,35
679,3,14,16,25,26,35
680,3,14,17,18,21,40
681,3,14,17,24,27,30
682,3,14,18,22,30,43
683,3,14,18,25,33,35
684,3,14,19,24,35,38
685,3,14,20,29,34,41
686,3,14,20,29,35,42
687,3,14,21,23,44,45
688,3,14,22,34,39,43
689,3,15,17,20,24,28
690,3,15,17,23,27,30
691,3,15,17,26,35,40
692,3,15,18,23,24,29
693,3,15,20,25,27,31
694,3,15,21,26,41,45
695,3,15,22,23,37,43
696,3,15,23,30,31,33
697,3,15,23,30,35,36
698,3,15,25,28,43,44
699,3,15,27,29,38,45
700,3,15,27,40,44,45
701,3,15,30,39,41,42
702,3,16,21,37,40,41
703,3,16,27,32,35,45
704,3,16,32,34,38,39
705,3,16,37,38,40,43
706,3,17,22,26,34,40
707,3,17,23,26,35,45
708,3,17,24,26,27,36
709,3,17,24,29,34,35
710,3,17,25,34,42,45
711,3,17,26,35,38,42
712,3,17,28,32,43,44
713,3,18,19,22,27,42
714,3,18,19,23,30,33
715,3,18,20,22,27,45
716,3,18,27,29,33,43
717,3,18,27,31,39,45
718,3,20,34,37,39,41
719,3,22,24,29,36,38
720,3,22,26,33,39,42
721,3,22,29,37,39,43
722,3,22,34,39,41,45
723,3,23,27,28,39,42
724,3,23,28,33,44,45
725,3,23,31,35,42,43
726,3,24,28,34,36,45
727,3,24,29,30,33,34
728,3,24,32,33,37,39
729,3,25,27,28,30,39
730,3,27,28,37,38,41
731,3,27,29,41,42,44
732,3,32,33,37,38,44
733,3,32,35,37,38,42
734,4,5,6,10,26,32
735,4,5,6,25,30,39
736,4,5,6,30,39,45
737,4,5,7,13,22,27
738,4,5,7,37,39,41
739,4,5,8,10,22,41
740,4,5,8,10,33,34
741,4,5,8,13,21,41
742,4,5,10,14,27,32
743,4,5,10,27,29,37
744,4,5,11,12,35,44
745,4,5,11,19,33,38
746,4,5,12,15,27,41
747,4,5,12,21,31,35
748,4,5,14,21,28,41
749,4,5,15,17,38,41
750,4,5,15,25,43,44
751,4,5,16,20,21,32
752,4,5,17,18,40,41
753,4,5,18,23,31,40
754,4,5,19,28,39,42
755,4,5,20,21,31,33
756,4,5,21,26,27,32
757,4,5,21,29,36,37
758,4,5,24,26,35,42
759,4,5,26,27,42,44
760,4,5,28,38,39,44
761,4,6,7,19,26,38
762,4,6,8,10,17,32
763,4,6,8,20,24,45
764,4,6,9,12,31,42
765,4,6,11,32,37,45
766,4,6,13,20,22,45
767,4,6,14,19,25,30
768,4,6,16,22,25,45
769,4,6,18,27,43,44
770,4,6,18,30,31,38
771,4,6,19,22,29,35
772,4,6,21,24,37,40
773,4,6,23,28,34,44
774,4,6,27,32,39,40
775,4,7,8,12,14,25
776,4,7,8,13,28,36
777,4,7,8,18,32,45
778,4,7,8,24,27,36
779,4,7,9,14,27,31
780,4,7,9,37,40,45
781,4,7,10,19,20,39
782,4,7,10,21,22,34
783,4,7,11,17,19,20
784,4,7,12,28,35,36
785,4,7,13,14,42,45
786,4,7,13,15,21,42
787,4,7,14,26,31,33
788,4,7,14,28,37,42
789,4,7,15,16,17,34
790,4,7,15,22,40,41
791,4,7,16,20,24,31
792,4,7,16,28,31,43
793,4,7,18,21,34,45
794,4,7,19,20,35,43
795,4,7,19,23,28,36
796,4,7,22,23,26,29
797,4,7,22,32,33,41
798,4,7,25,31,41,43
799,4,8,9,10,19,42
800,4,8,9,13,26,30
801,4,8,9,14,26,34
802,4,8,9,18,30,42
803,4,8,13,15,33,34
804,4,8,13,23,32,36
805,4,8,14,38,42,43
806,4,8,18,20,28,39
807,4,8,18,21,36,41
808,4,8,20,29,30,44
809,4,8,20,29,32,40
810,4,8,21,22,25,28
811,4,8,30,31,32,37
812,4,8,34,36,38,41
813,4,9,11,14,24,40
814,4,9,11,32,40,45
815,4,9,12,18,29,38
816,4,9,14,19,23,30
817,4,9,16,20,22,39
818,4,9,16,21,39,40
819,4,9,17,20,33,41
820,4,9,17,40,44,45
821,4,9,18,22,23,38
822,4,9,21,31,34,35
823,4,9,26,30,40,45
824,4,9,30,36,44,45
825,4,9,32,40,41,45
826,4,10,11,34,43,45
827,4,10,12,14,33,44
828,4,10,13,19,31,44
829,4,10,14,22,26,35
830,4,10,16,23,27,32
831,4,10,16,33,39,43
832,4,10,17,20,25,35
833,4,10,19,24,26,33
834,4,10,26,27,40,42
835,4,10,27,34,37,42
836,4,10,29,32,38,40
837,4,10,30,31,37,45
838,4,11,16,28,30,39
839,4,11,17,22,25,28
840,4,11,24,34,36,44
841,4,11,25,29,35,39
842,4,11,27,31,39,41
843,4,12,13,37,40,45
844,4,12,15,19,34,39
845,4,12,15,22,33,44
846,4,12,15,25,26,27
847,4,12,15,30,42,43
848,4,12,19,25,37,45
849,4,12,26,34,38,43
850,4,13,15,22,23,35
851,4,13,15,23,35,45
852,4,13,16,19,26,29
853,4,13,16,31,35,41
854,4,13,17,18,25,29
855,4,13,18,28,30,36
856,4,13,19,20,22,37
857,4,13,21,22,31,45
858,4,13,21,32,36,43
859,4,13,22,27,34,38
860,4,13,25,27,36,38
861,4,13,33,35,42,43
862,4,13,40,41,42,45
863,4,14,15,17,18,31
864,4,14,16,17,32,45
865,4,14,18,21,29,35
866,4,14,18,22,35,37
867,4,14,18,24,32,37
868,4,14,19,25,39,41
869,4,14,19,28,36,41
870,4,14,20,27,36,41
871,4,14,20,29,41,44
872,4,14,21,27,28,40
873,4,14,23,35,40,45
874,4,15,16,24,32,33
875,4,15,20,21,27,29
876,4,15,21,22,36,41
877,4,15,21,31,35,38
878,4,15,25,27,39,43
879,4,15,25,33,35,44
880,4,16,22,26,27,37
881,4,16,22,31,35,40
882,4,16,28,29,41,45
883,4,16,34,38,39,43
884,4,17,18,19,28,32
885,4,17,18,19,30,38
886,4,17,18,23,39,45
887,4,17,18,31,43,45
888,4,17,21,33,34,39
889,4,17,21,33,41,43
890,4,17,23,27,32,41
891,4,17,27,34,35,37
892,4,17,31,35,40,43
893,4,18,19,22,25,35
894,4,18,22,28,30,45
895,4,18,23,25,27,45
896,4,18,24,27,29,37
897,4,18,31,37,40,42
898,4,19,22,23,41,45
899,4,19,27,31,32,43
900,4,19,28,30,33,38
901,4,20,21,29,31,32
902,4,21,22,31,40,43
903,4,21,24,25,38,44
904,4,21,29,34,44,45
905,4,22,24,27,32,44
906,4,23,24,26,33,37
907,4,23,28,30,37,41
908,4,26,29,37,39,40
909,4,27,33,37,41,45
910,5,6,7,13,33,44
911,5,6,8,11,13,32
912,5,6,8,12,31,32
913,5,6,8,16,17,24
914,5,6,8,17,38,40
915,5,6,9,10,20,39
916,5,6,9,19,23,37
917,5,6,10,25,34,43
918,5,6,12,13,19,27
919,5,6,12,20,38,40
920,5,6,12,24,41,44
921,5,6,12,25,27,31
922,5,6,12,34,35,39
923,5,6,13,20,31,34
924,5,6,14,21,29,33
925,5,6,15,23,31,43
926,5,6,16,19,25,34
927,5,6,16,40,42,43
928,5,6,17,22,28,38
929,5,6,19,25,35,39
930,5,6,19,28,31,34
931,5,6,20,30,34,39
932,5,6,22,23,35,41
933,5,6,22,38,40,42
934,5,6,23,26,35,40
935,5,6,24,25,26,43
936,5,6,33,35,42,44
937,5,7,8,19,32,41
938,5,7,9,14,28,36
939,5,7,10,22,26,31
940,5,7,12,30,36,45
941,5,7,13,20,23,32
942,5,7,13,23,29,32
943,5,7,13,34,36,37
944,5,7,16,32,37,42
945,5,7,20,24,40,41
946,5,7,23,26,33,41
947,5,7,24,31,33,36
948,5,7,27,32,37,43
949,5,7,29,36,39,42
950,5,8,9,21,35,40
951,5,8,9,29,36,39
952,5,8,10,11,13,33
953,5,8,10,14,22,40
954,5,8,10,28,40,43
955,5,8,11,29,40,44
956,5,8,12,14,25,28
957,5,8,12,15,21,34
958,5,8,14,15,24,25
959,5,8,14,25,27,29
960,5,8,15,20,21,27
961,5,8,15,25,28,39
962,5,8,16,21,29,33
963,5,8,20,22,27,31
964,5,8,21,23,42,44
965,5,8,21,24,30,39
966,5,8,24,34,36,39
967,5,8,26,34,36,44
968,5,8,30,33,38,40
969,5,8,37,40,41,45
970,5,9,10,12,20,27
971,5,9,10,22,31,38
972,5,9,10,23,24,41
973,5,9,10,23,35,37
974,5,9,11,14,27,34
975,5,9,11,15,19,26
976,5,9,11,21,34,42
977,5,9,12,17,30,33
978,5,9,12,26,34,41
979,5,9,12,27,34,45
980,5,9,14,19,20,30
981,5,9,14,20,26,28
982,5,9,15,18,37,42
983,5,9,15,25,28,36
984,5,9,16,21,34,36
985,5,9,16,32,36,37
986,5,9,17,19,28,39
987,5,9,18,20,23,34
988,5,9,19,26,29,39
989,5,9,21,30,43,45
990,5,9,23,28,34,44
991,5,10,11,16,28,44
992,5,10,12,18,26,41
993,5,10,12,20,31,35
994,5,10,12,31,33,36
995,5,10,13,15,23,43
996,5,10,14,21,23,37
997,5,10,15,17,22,27
